target,source,relation
ncbigene:25902,wikipathways:WP2525,hasGeneId
ncbigene:23382,wikipathways:WP2525,hasGeneId
ncbigene:10840,wikipathways:WP1589,hasGeneId
ncbigene:4524,wikipathways:WP1589,hasGeneId
ncbigene:1571,wikipathways:WP1589,hasGeneId
ncbigene:216,wikipathways:WP1589,hasGeneId
ncbigene:1385,wikipathways:WP1589,hasGeneId
ncbigene:1051,wikipathways:WP1589,hasGeneId
ncbigene:875,wikipathways:WP1589,hasGeneId
ncbigene:128,wikipathways:WP1589,hasGeneId
ncbigene:113235,wikipathways:WP176,hasGeneId
ncbigene:213,wikipathways:WP176,hasGeneId
ncbigene:2348,wikipathways:WP176,hasGeneId
ncbigene:2352,wikipathways:WP176,hasGeneId
ncbigene:80308,wikipathways:WP176,hasGeneId
ncbigene:390243,wikipathways:WP176,hasGeneId
ncbigene:2350,wikipathways:WP176,hasGeneId
ncbigene:6573,wikipathways:WP176,hasGeneId
ncbigene:2618,wikipathways:WP176,hasGeneId
ncbigene:10588,wikipathways:WP176,hasGeneId
ncbigene:9815,wikipathways:WP185,hasGeneId
ncbigene:11131,wikipathways:WP185,hasGeneId
ncbigene:827,wikipathways:WP185,hasGeneId
ncbigene:84665,wikipathways:WP185,hasGeneId
ncbigene:23473,wikipathways:WP185,hasGeneId
ncbigene:726,wikipathways:WP185,hasGeneId
ncbigene:10753,wikipathways:WP185,hasGeneId
ncbigene:7145,wikipathways:WP185,hasGeneId
ncbigene:11132,wikipathways:WP185,hasGeneId
ncbigene:825,wikipathways:WP185,hasGeneId
ncbigene:55359,wikipathways:WP306,hasGeneId
ncbigene:4637,wikipathways:WP306,hasGeneId
ncbigene:7791,wikipathways:WP306,hasGeneId
ncbigene:8711,wikipathways:WP306,hasGeneId
ncbigene:29780,wikipathways:WP306,hasGeneId
ncbigene:7294,wikipathways:WP306,hasGeneId
ncbigene:5649,wikipathways:WP306,hasGeneId
ncbigene:6725,wikipathways:WP306,hasGeneId
ncbigene:394,wikipathways:WP306,hasGeneId
ncbigene:9855,wikipathways:WP306,hasGeneId
ncbigene:10890,wikipathways:WP3932,hasGeneId
ncbigene:1942,wikipathways:WP3932,hasGeneId
ncbigene:2324,wikipathways:WP3932,hasGeneId
ncbigene:1943,wikipathways:WP3932,hasGeneId
ncbigene:23035,wikipathways:WP3932,hasGeneId
ncbigene:9230,wikipathways:WP3932,hasGeneId
ncbigene:51552,wikipathways:WP3932,hasGeneId
ncbigene:1441,wikipathways:WP3932,hasGeneId
ncbigene:5862,wikipathways:WP3932,hasGeneId
ncbigene:9470,wikipathways:WP3932,hasGeneId
ncbigene:79092,wikipathways:WP2864,hasGeneId
ncbigene:10276,wikipathways:WP2864,hasGeneId
ncbigene:27018,wikipathways:WP2864,hasGeneId
ncbigene:3329,wikipathways:WP2864,hasGeneId
ncbigene:8531,wikipathways:WP2864,hasGeneId
ncbigene:26135,wikipathways:WP2864,hasGeneId
ncbigene:602,wikipathways:WP2864,hasGeneId
ncbigene:9616,wikipathways:WP2864,hasGeneId
ncbigene:5585,wikipathways:WP2864,hasGeneId
ncbigene:8870,wikipathways:WP2864,hasGeneId
ncbigene:5888,wikipathways:WP2516,hasGeneId
ncbigene:993,wikipathways:WP2516,hasGeneId
ncbigene:55367,wikipathways:WP2516,hasGeneId
ncbigene:5883,wikipathways:WP2516,hasGeneId
ncbigene:995,wikipathways:WP2516,hasGeneId
ncbigene:25,wikipathways:WP2516,hasGeneId
ncbigene:7158,wikipathways:WP2516,hasGeneId
ncbigene:891,wikipathways:WP2516,hasGeneId
ncbigene:898,wikipathways:WP2516,hasGeneId
ncbigene:7161,wikipathways:WP2516,hasGeneId
ncbigene:6249,wikipathways:WP2038,hasGeneId
ncbigene:23332,wikipathways:WP2038,hasGeneId
ncbigene:2151,wikipathways:WP2038,hasGeneId
ncbigene:11004,wikipathways:WP2038,hasGeneId
ncbigene:2011,wikipathways:WP2038,hasGeneId
ncbigene:4131,wikipathways:WP2038,hasGeneId
ncbigene:4139,wikipathways:WP2038,hasGeneId
ncbigene:10420,wikipathways:WP2038,hasGeneId
ncbigene:7204,wikipathways:WP2038,hasGeneId
ncbigene:22919,wikipathways:WP2038,hasGeneId
ncbigene:253959,wikipathways:WP1984,hasGeneId
ncbigene:80271,wikipathways:WP1984,hasGeneId
ncbigene:2896,wikipathways:WP1984,hasGeneId
ncbigene:79902,wikipathways:WP1984,hasGeneId
ncbigene:23077,wikipathways:WP1984,hasGeneId
ncbigene:55526,wikipathways:WP1984,hasGeneId
ncbigene:10557,wikipathways:WP1984,hasGeneId
ncbigene:3612,wikipathways:WP1984,hasGeneId
ncbigene:84640,wikipathways:WP1984,hasGeneId
ncbigene:5245,wikipathways:WP1984,hasGeneId
ncbigene:407018,wikipathways:WP1545,hasGeneId
ncbigene:100126317,wikipathways:WP1545,hasGeneId
ncbigene:574456,wikipathways:WP1545,hasGeneId
ncbigene:406892,wikipathways:WP1545,hasGeneId
ncbigene:664617,wikipathways:WP1545,hasGeneId
ncbigene:407050,wikipathways:WP1545,hasGeneId
ncbigene:407048,wikipathways:WP1545,hasGeneId
ncbigene:494336,wikipathways:WP1545,hasGeneId
ncbigene:100126302,wikipathways:WP1545,hasGeneId
ncbigene:442916,wikipathways:WP1545,hasGeneId
ncbigene:10733,wikipathways:WP2446,hasGeneId
ncbigene:1633,wikipathways:WP2446,hasGeneId
ncbigene:79027,wikipathways:WP2446,hasGeneId
ncbigene:2189,wikipathways:WP2446,hasGeneId
ncbigene:6596,wikipathways:WP2446,hasGeneId
ncbigene:7272,wikipathways:WP2446,hasGeneId
ncbigene:10592,wikipathways:WP2446,hasGeneId
ncbigene:54443,wikipathways:WP2446,hasGeneId
ncbigene:5877,wikipathways:WP2446,hasGeneId
ncbigene:24137,wikipathways:WP2446,hasGeneId
ncbigene:9712,wikipathways:WP437,hasGeneId
ncbigene:8867,wikipathways:WP437,hasGeneId
ncbigene:10254,wikipathways:WP437,hasGeneId
ncbigene:10617,wikipathways:WP437,hasGeneId
ncbigene:9101,wikipathways:WP437,hasGeneId
ncbigene:5782,wikipathways:WP437,hasGeneId
ncbigene:5359,wikipathways:WP437,hasGeneId
ncbigene:9922,wikipathways:WP437,hasGeneId
ncbigene:30011,wikipathways:WP437,hasGeneId
ncbigene:9185,wikipathways:WP437,hasGeneId
ncbigene:10298,wikipathways:WP673,hasGeneId
ncbigene:2069,wikipathways:WP673,hasGeneId
ncbigene:10718,wikipathways:WP673,hasGeneId
ncbigene:23624,wikipathways:WP673,hasGeneId
ncbigene:685,wikipathways:WP673,hasGeneId
ncbigene:374,wikipathways:WP673,hasGeneId
ncbigene:9542,wikipathways:WP673,hasGeneId
ncbigene:2065,wikipathways:WP673,hasGeneId
ncbigene:2066,wikipathways:WP673,hasGeneId
ncbigene:145957,wikipathways:WP673,hasGeneId
ncbigene:2281,wikipathways:WP2377,hasGeneId
ncbigene:7031,wikipathways:WP2377,hasGeneId
ncbigene:3375,wikipathways:WP2377,hasGeneId
ncbigene:3732,wikipathways:WP2377,hasGeneId
ncbigene:5273,wikipathways:WP2377,hasGeneId
ncbigene:2972,wikipathways:WP2377,hasGeneId
ncbigene:10811,wikipathways:WP2377,hasGeneId
ncbigene:4485,wikipathways:WP2377,hasGeneId
ncbigene:7486,wikipathways:WP2377,hasGeneId
ncbigene:2287,wikipathways:WP2377,hasGeneId
ncbigene:3146,wikipathways:WP710,hasGeneId
ncbigene:8061,wikipathways:WP710,hasGeneId
ncbigene:197259,wikipathways:WP710,hasGeneId
ncbigene:2538,wikipathways:WP710,hasGeneId
ncbigene:901,wikipathways:WP710,hasGeneId
ncbigene:10023,wikipathways:WP710,hasGeneId
ncbigene:5288,wikipathways:WP710,hasGeneId
ncbigene:638,wikipathways:WP710,hasGeneId
ncbigene:5106,wikipathways:WP710,hasGeneId
ncbigene:7476,wikipathways:WP710,hasGeneId
ncbigene:81873,wikipathways:WP2272,hasGeneId
ncbigene:9181,wikipathways:WP2272,hasGeneId
ncbigene:10094,wikipathways:WP2272,hasGeneId
ncbigene:10109,wikipathways:WP2272,hasGeneId
ncbigene:3875,wikipathways:WP2272,hasGeneId
ncbigene:203068,wikipathways:WP2272,hasGeneId
ncbigene:10383,wikipathways:WP2272,hasGeneId
ncbigene:84617,wikipathways:WP2272,hasGeneId
ncbigene:10093,wikipathways:WP2272,hasGeneId
ncbigene:10552,wikipathways:WP2272,hasGeneId
ncbigene:5884,wikipathways:WP707,hasGeneId
ncbigene:50484,wikipathways:WP707,hasGeneId
ncbigene:135458,wikipathways:WP707,hasGeneId
ncbigene:84126,wikipathways:WP707,hasGeneId
ncbigene:10912,wikipathways:WP707,hasGeneId
ncbigene:27244,wikipathways:WP707,hasGeneId
ncbigene:63970,wikipathways:WP707,hasGeneId
ncbigene:2177,wikipathways:WP707,hasGeneId
ncbigene:9874,wikipathways:WP707,hasGeneId
ncbigene:11011,wikipathways:WP707,hasGeneId
ncbigene:27113,wikipathways:WP1742,hasGeneId
ncbigene:8626,wikipathways:WP1742,hasGeneId
ncbigene:5366,wikipathways:WP1742,hasGeneId
ncbigene:7341,wikipathways:WP1742,hasGeneId
ncbigene:25,wikipathways:WP1742,hasGeneId
ncbigene:666,wikipathways:WP1742,hasGeneId
ncbigene:8743,wikipathways:WP1742,hasGeneId
ncbigene:5015,wikipathways:WP1742,hasGeneId
ncbigene:1647,wikipathways:WP1742,hasGeneId
ncbigene:7161,wikipathways:WP1742,hasGeneId
ncbigene:4221,wikipathways:WP179,hasGeneId
ncbigene:9700,wikipathways:WP179,hasGeneId
ncbigene:254394,wikipathways:WP179,hasGeneId
ncbigene:219972,wikipathways:WP179,hasGeneId
ncbigene:9184,wikipathways:WP179,hasGeneId
ncbigene:8379,wikipathways:WP179,hasGeneId
ncbigene:140739,wikipathways:WP179,hasGeneId
ncbigene:10459,wikipathways:WP179,hasGeneId
ncbigene:991,wikipathways:WP179,hasGeneId
ncbigene:8555,wikipathways:WP179,hasGeneId
ncbigene:135458,wikipathways:WP1530,hasGeneId
ncbigene:84126,wikipathways:WP1530,hasGeneId
ncbigene:554213,wikipathways:WP1530,hasGeneId
ncbigene:166979,wikipathways:WP1530,hasGeneId
ncbigene:10912,wikipathways:WP1530,hasGeneId
ncbigene:407975,wikipathways:WP1530,hasGeneId
ncbigene:693123,wikipathways:WP1530,hasGeneId
ncbigene:442902,wikipathways:WP1530,hasGeneId
ncbigene:693122,wikipathways:WP1530,hasGeneId
ncbigene:11011,wikipathways:WP1530,hasGeneId
ncbigene:6888,wikipathways:WP134,hasGeneId
ncbigene:6120,wikipathways:WP134,hasGeneId
ncbigene:7086,wikipathways:WP134,hasGeneId
ncbigene:5226,wikipathways:WP134,hasGeneId
ncbigene:25796,wikipathways:WP134,hasGeneId
ncbigene:22934,wikipathways:WP134,hasGeneId
ncbigene:2539,wikipathways:WP134,hasGeneId
ncbigene:7447,wikipathways:WP2005,hasGeneId
ncbigene:9125,wikipathways:WP2005,hasGeneId
ncbigene:8372,wikipathways:WP2005,hasGeneId
ncbigene:80155,wikipathways:WP2005,hasGeneId
ncbigene:25963,wikipathways:WP2005,hasGeneId
ncbigene:23261,wikipathways:WP2005,hasGeneId
ncbigene:7798,wikipathways:WP2005,hasGeneId
ncbigene:8546,wikipathways:WP2005,hasGeneId
ncbigene:92745,wikipathways:WP2005,hasGeneId
ncbigene:8636,wikipathways:WP2005,hasGeneId
ncbigene:11182,wikipathways:WP2884,hasGeneId
ncbigene:200010,wikipathways:WP2884,hasGeneId
ncbigene:11254,wikipathways:WP2884,hasGeneId
ncbigene:874,wikipathways:WP2884,hasGeneId
ncbigene:155184,wikipathways:WP2884,hasGeneId
ncbigene:645,wikipathways:WP2884,hasGeneId
ncbigene:283848,wikipathways:WP2884,hasGeneId
ncbigene:9588,wikipathways:WP2884,hasGeneId
ncbigene:22949,wikipathways:WP2884,hasGeneId
ncbigene:66035,wikipathways:WP2884,hasGeneId
ncbigene:5230,wikipathways:WP1946,hasGeneId
ncbigene:2597,wikipathways:WP1946,hasGeneId
ncbigene:5232,wikipathways:WP1946,hasGeneId
ncbigene:6888,wikipathways:WP1946,hasGeneId
ncbigene:5214,wikipathways:WP1946,hasGeneId
ncbigene:2875,wikipathways:WP1946,hasGeneId
ncbigene:2821,wikipathways:WP1946,hasGeneId
ncbigene:3098,wikipathways:WP1946,hasGeneId
ncbigene:7167,wikipathways:WP1946,hasGeneId
ncbigene:5223,wikipathways:WP1946,hasGeneId
ncbigene:9982,wikipathways:WP2882,hasGeneId
ncbigene:81031,wikipathways:WP2882,hasGeneId
ncbigene:200010,wikipathways:WP2882,hasGeneId
ncbigene:6533,wikipathways:WP2882,hasGeneId
ncbigene:6594,wikipathways:WP2882,hasGeneId
ncbigene:10560,wikipathways:WP2882,hasGeneId
ncbigene:348932,wikipathways:WP2882,hasGeneId
ncbigene:9152,wikipathways:WP2882,hasGeneId
ncbigene:153218,wikipathways:WP2882,hasGeneId
ncbigene:79571,wikipathways:WP2882,hasGeneId
ncbigene:168002,wikipathways:WP2877,hasGeneId
ncbigene:373863,wikipathways:WP2877,hasGeneId
ncbigene:29923,wikipathways:WP2877,hasGeneId
ncbigene:200407,wikipathways:WP2877,hasGeneId
ncbigene:112802,wikipathways:WP2877,hasGeneId
ncbigene:126364,wikipathways:WP2877,hasGeneId
ncbigene:1474,wikipathways:WP2877,hasGeneId
ncbigene:23274,wikipathways:WP2877,hasGeneId
ncbigene:55090,wikipathways:WP2877,hasGeneId
ncbigene:353134,wikipathways:WP2877,hasGeneId
ncbigene:23647,wikipathways:WP2002,hasGeneId
ncbigene:10061,wikipathways:WP2002,hasGeneId
ncbigene:594,wikipathways:WP2002,hasGeneId
ncbigene:140707,wikipathways:WP2002,hasGeneId
ncbigene:5493,wikipathways:WP2002,hasGeneId
ncbigene:5225,wikipathways:WP2002,hasGeneId
ncbigene:9319,wikipathways:WP2002,hasGeneId
ncbigene:3224,wikipathways:WP2002,hasGeneId
ncbigene:55722,wikipathways:WP2002,hasGeneId
ncbigene:79751,wikipathways:WP2002,hasGeneId
ncbigene:54964,wikipathways:WP2003,hasGeneId
ncbigene:138428,wikipathways:WP2003,hasGeneId
ncbigene:771,wikipathways:WP2003,hasGeneId
ncbigene:29901,wikipathways:WP2003,hasGeneId
ncbigene:9782,wikipathways:WP2003,hasGeneId
ncbigene:7127,wikipathways:WP2003,hasGeneId
ncbigene:406948,wikipathways:WP2003,hasGeneId
ncbigene:83440,wikipathways:WP2003,hasGeneId
ncbigene:23423,wikipathways:WP2003,hasGeneId
ncbigene:10942,wikipathways:WP2003,hasGeneId
ncbigene:9025,wikipathways:WP3878,hasGeneId
ncbigene:80254,wikipathways:WP3878,hasGeneId
ncbigene:9810,wikipathways:WP3878,hasGeneId
ncbigene:56254,wikipathways:WP3878,hasGeneId
ncbigene:5932,wikipathways:WP3878,hasGeneId
ncbigene:55183,wikipathways:WP3878,hasGeneId
ncbigene:23300,wikipathways:WP3878,hasGeneId
ncbigene:165918,wikipathways:WP3878,hasGeneId
ncbigene:8493,wikipathways:WP3878,hasGeneId
ncbigene:64421,wikipathways:WP3878,hasGeneId
ncbigene:2952,wikipathways:WP100,hasGeneId
ncbigene:2946,wikipathways:WP100,hasGeneId
ncbigene:2879,wikipathways:WP100,hasGeneId
ncbigene:221357,wikipathways:WP100,hasGeneId
ncbigene:26873,wikipathways:WP100,hasGeneId
ncbigene:2678,wikipathways:WP100,hasGeneId
ncbigene:3417,wikipathways:WP100,hasGeneId
ncbigene:2687,wikipathways:WP100,hasGeneId
ncbigene:2937,wikipathways:WP100,hasGeneId
ncbigene:2938,wikipathways:WP100,hasGeneId
ncbigene:196528,wikipathways:WP2004,hasGeneId
ncbigene:83451,wikipathways:WP2004,hasGeneId
ncbigene:9341,wikipathways:WP2004,hasGeneId
ncbigene:3202,wikipathways:WP2004,hasGeneId
ncbigene:51616,wikipathways:WP2004,hasGeneId
ncbigene:84705,wikipathways:WP2004,hasGeneId
ncbigene:23186,wikipathways:WP2004,hasGeneId
ncbigene:4223,wikipathways:WP2004,hasGeneId
ncbigene:4883,wikipathways:WP2004,hasGeneId
ncbigene:285598,wikipathways:WP2004,hasGeneId
ncbigene:9061,wikipathways:WP692,hasGeneId
ncbigene:391365,wikipathways:WP692,hasGeneId
ncbigene:100526830,wikipathways:WP692,hasGeneId
ncbigene:445329,wikipathways:WP692,hasGeneId
ncbigene:27233,wikipathways:WP692,hasGeneId
ncbigene:9060,wikipathways:WP692,hasGeneId
ncbigene:442038,wikipathways:WP692,hasGeneId
ncbigene:27284,wikipathways:WP692,hasGeneId
ncbigene:6799,wikipathways:WP692,hasGeneId
ncbigene:25830,wikipathways:WP692,hasGeneId
hgnc.symbol:EPHX2,ncbigene:2053,hasSymbol
hgnc.symbol:COX8A,ncbigene:1351,hasSymbol
hgnc.symbol:CYP2C8,ncbigene:1558,hasSymbol
hgnc.symbol:COX5A,ncbigene:9377,hasSymbol
hgnc.symbol:GSTP1,ncbigene:2950,hasSymbol
hgnc.symbol:CYP2C9,ncbigene:1559,hasSymbol
hgnc.symbol:CYP2J2,ncbigene:1573,hasSymbol
hgnc.symbol:SLC2A6,ncbigene:11182,hasSymbol
hgnc.symbol:SLC5A9,ncbigene:200010,hasSymbol
hgnc.symbol:SLC6A14,ncbigene:11254,hasSymbol
hgnc.symbol:CBR3,ncbigene:874,hasSymbol
hgnc.symbol:SLC2A7,ncbigene:155184,hasSymbol
hgnc.symbol:BLVRB,ncbigene:645,hasSymbol
hgnc.symbol:CES4A,ncbigene:283848,hasSymbol
hgnc.symbol:PRDX6,ncbigene:9588,hasSymbol
hgnc.symbol:PTGR1,ncbigene:22949,hasSymbol
hgnc.symbol:SLC2A11,ncbigene:66035,hasSymbol
hgnc.symbol:SLC2A6,ncbigene:11182,hasSymbol
hgnc.symbol:KTN1,ncbigene:3895,hasSymbol
hgnc.symbol:SMARCA1,ncbigene:6594,hasSymbol
hgnc.symbol:CBR3,ncbigene:874,hasSymbol
hgnc.symbol:TSC22D3,ncbigene:1831,hasSymbol
hgnc.symbol:CES4A,ncbigene:283848,hasSymbol
hgnc.symbol:POLK,ncbigene:51426,hasSymbol
hgnc.symbol:SLC2A11,ncbigene:66035,hasSymbol
hgnc.symbol:GCC1,ncbigene:79571,hasSymbol
hgnc.symbol:PTGR1,ncbigene:22949,hasSymbol
hgnc.symbol:HIST1H2BN,ncbigene:8341,hasSymbol
