,Output_gene,Input_gene,Func_sim_score,Func_assoc_terms,Pheno_sim_score,Pheno_assoc_terms,Gene_Gene_hit
36,SNCB,EPM2A,,,0.20689655172413793,"['Abnormality of central motor function', 'Hallucinations', 'Behavioral abnormality', 'Cognitive impairment', 'Phenotypic abnormality', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'Visual hallucinations', 'Dementia', 'Abnormality of nervous system physiology', 'All']",
35,SERPINI1,EPM2A,,,0.2191780821917808,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of the eye', 'Abnormality of central motor function', 'Cognitive impairment', 'Seizures', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Dementia', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Phenotypic abnormality']",
34,SERPINI1,NHLRC1,,,0.2191780821917808,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of the eye', 'Abnormality of central motor function', 'Cognitive impairment', 'Seizures', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Dementia', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Phenotypic abnormality']",
2,SCN2A,NHLRC1,,,0.22962962962962963,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Hallucinations', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
3,SCN2A,EPM2A,,,0.22962962962962963,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Hallucinations', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
17,EFHC1,NHLRC1,,,0.2028985507246377,"['Absence seizure', 'Abnormal eye physiology', 'Behavioral abnormality', 'Generalized-onset seizure', 'Seizures', 'Phenotypic abnormality', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Abnormality of the eye']",
16,EFHC1,EPM2A,,,0.2028985507246377,"['Absence seizure', 'Abnormal eye physiology', 'Behavioral abnormality', 'Generalized-onset seizure', 'Seizures', 'Phenotypic abnormality', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Abnormality of the eye']",
52,SCARB2,EPM2A,,,0.2549019607843137,"['Absence seizure', 'Cutaneous photosensitivity', 'Gait disturbance', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Myoclonus', 'Abnormality of metabolism/homeostasis', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
53,SCARB2,NHLRC1,,,0.2549019607843137,"['Absence seizure', 'Cutaneous photosensitivity', 'Gait disturbance', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Myoclonus', 'Abnormality of metabolism/homeostasis', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
40,SAMD12,NHLRC1,,,0.22388059701492538,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Focal-onset seizure', 'Generalized-onset seizure', 'Seizures', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Phenotypic abnormality']",
41,SAMD12,EPM2A,,,0.22388059701492538,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Focal-onset seizure', 'Generalized-onset seizure', 'Seizures', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Phenotypic abnormality']",
246,RPS27A,EPM2A,,,,,1.0
228,RPS27A,NHLRC1,,,,,1.0
32,GABRA1,EPM2A,,,0.25,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
33,GABRA1,NHLRC1,,,0.25,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
30,GABRG2,NHLRC1,,,0.25471698113207547,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
31,GABRG2,EPM2A,,,0.25471698113207547,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
22,GRIN2A,EPM2A,,,0.20588235294117646,"['Abnormality of movement', 'Abnormality of central motor function', 'Focal-onset seizure', 'Behavioral abnormality', 'Generalized-onset seizure', 'Seizures', 'Abnormality of higher mental function', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Abnormality of nervous system physiology', 'Generalized tonic-clonic seizures with focal onset', 'Apraxia', 'Phenotypic abnormality']",
23,GRIN2A,NHLRC1,,,0.20588235294117646,"['Abnormality of movement', 'Abnormality of central motor function', 'Focal-onset seizure', 'Behavioral abnormality', 'Generalized-onset seizure', 'Seizures', 'Abnormality of higher mental function', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Abnormality of nervous system physiology', 'Generalized tonic-clonic seizures with focal onset', 'Apraxia', 'Phenotypic abnormality']",
235,GYG1,NHLRC1,,,,,1.0
240,GYG1,EPM2A,,,,,1.0
223,GYS1,NHLRC1,,,,,1.0
245,GYS1,EPM2A,,,,,1.0
27,CSTB,NHLRC1,,,0.34285714285714286,"['Absence seizure', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
26,CSTB,EPM2A,,,0.34285714285714286,"['Absence seizure', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
252,GYS2,EPM2A,,,,,1.0
225,GYS2,NHLRC1,,,,,1.0
9,ITM2B,NHLRC1,,,0.2111111111111111,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of the nervous system', 'Psychosis', 'Progressive neurologic deterioration', 'Abnormality of metabolism/homeostasis', 'Visual impairment', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Abnormality of central motor function', 'Mental deterioration', 'Abnormality of higher mental function', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'All']",
8,ITM2B,EPM2A,,,0.2111111111111111,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of the nervous system', 'Psychosis', 'Progressive neurologic deterioration', 'Abnormality of metabolism/homeostasis', 'Visual impairment', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Abnormality of central motor function', 'Mental deterioration', 'Abnormality of higher mental function', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'All']",
7,KCNC1,NHLRC1,,,0.21428571428571427,"['Abnormality of movement', 'Abnormality of central motor function', 'Cognitive impairment', 'Phenotypic abnormality', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Seizures', 'All']",
6,KCNC1,EPM2A,,,0.21428571428571427,"['Abnormality of movement', 'Abnormality of central motor function', 'Cognitive impairment', 'Phenotypic abnormality', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Seizures', 'All']",
5,KCNQ3,EPM2A,,,0.2727272727272727,"['Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Myoclonus', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Abnormality of central motor function', 'Abnormality of higher mental function', 'Involuntary movements', 'Hallucinations', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All']",
4,KCNQ3,NHLRC1,,,0.2727272727272727,"['Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Myoclonus', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Abnormality of central motor function', 'Abnormality of higher mental function', 'Involuntary movements', 'Hallucinations', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All']",
24,PRICKLE1,NHLRC1,,,0.2857142857142857,"['Absence seizure', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
25,PRICKLE1,EPM2A,,,0.2857142857142857,"['Absence seizure', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Myoclonus', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Dementia', 'Cognitive impairment', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
56,LGI1,NHLRC1,,,0.22916666666666666,"['Focal aware seizure', 'Focal-onset seizure', 'Focal sensory seizure', 'Generalized-onset seizure', 'Phenotypic abnormality', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Abnormality of nervous system physiology', 'Generalized tonic-clonic seizures with focal onset', 'Seizures', 'All']",
57,LGI1,EPM2A,,,0.22916666666666666,"['Focal aware seizure', 'Focal-onset seizure', 'Focal sensory seizure', 'Generalized-onset seizure', 'Phenotypic abnormality', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Abnormality of nervous system physiology', 'Generalized tonic-clonic seizures with focal onset', 'Seizures', 'All']",
75,PPP1R3D,NHLRC1,0.31176470588235294,"['cellular macromolecule metabolic process', 'regulation of cellular metabolic process', 'macromolecule catabolic process', 'polysaccharide metabolic process', 'phosphate-containing compound metabolic process', 'energy derivation by oxidation of organic compounds', 'energy reserve metabolic process', 'cellular polysaccharide biosynthetic process', 'cellular catabolic process', 'organic substance metabolic process', 'regulation of primary metabolic process', 'cellular glucan metabolic process', 'metabolic process', 'cellular metabolic process', 'cellular macromolecule biosynthetic process', 'oxidation-reduction process', 'glucan biosynthetic process', 'polysaccharide biosynthetic process', 'glucan metabolic process', 'cellular protein modification process', 'regulation of cellular process', 'biosynthetic process', 'regulation of macromolecule metabolic process', 'protein metabolic process', 'carbohydrate biosynthetic process', 'macromolecule modification', 'catalytic activity', 'primary metabolic process', 'catalytic activity, acting on a protein', 'biological regulation', 'catabolic process', 'cellular process', 'binding', 'generation of precursor metabolites and energy', 'cellular polysaccharide metabolic process', 'protein modification process', 'regulation of metabolic process', 'cellular carbohydrate biosynthetic process', 'macromolecule metabolic process', 'organic substance biosynthetic process', 'glycogen metabolic process', 'phosphorus metabolic process', 'cellular biosynthetic process', 'macromolecule biosynthetic process', 'regulation of biological process', 'glycogen biosynthetic process', 'cellular protein metabolic process', 'organic substance catabolic process', 'carbohydrate metabolic process', 'nitrogen compound metabolic process', 'organonitrogen compound metabolic process', 'cellular carbohydrate metabolic process', 'protein binding']",,,
263,PPP1R3D,EPM2A,,,,,1.0
256,PPP1R3C,EPM2A,,,,,1.0
224,PPP1R3C,NHLRC1,,,,,1.0
39,PPOX,EPM2A,,,0.22093023255813954,"['Cutaneous photosensitivity', 'Abnormality of the nervous system', 'Psychosis', 'Abnormality of metabolism/homeostasis', 'Abnormality of the skin', 'Phenotypic abnormality', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Abnormality of the integument', 'Abnormality of higher mental function', 'Hallucinations', 'Behavioral abnormality', 'Visual hallucinations', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
38,PPOX,NHLRC1,,,0.22093023255813954,"['Cutaneous photosensitivity', 'Abnormality of the nervous system', 'Psychosis', 'Abnormality of metabolism/homeostasis', 'Abnormality of the skin', 'Phenotypic abnormality', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Abnormality of the integument', 'Abnormality of higher mental function', 'Hallucinations', 'Behavioral abnormality', 'Visual hallucinations', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
44,MECR,NHLRC1,,,0.20253164556962025,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Gait disturbance', 'Visual impairment', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Involuntary movements', 'Abnormality of nervous system physiology', 'All', 'Myoclonus', 'Abnormality of movement', 'Abnormality of the eye']",
45,MECR,EPM2A,,,0.20253164556962025,"['Abnormality of vision', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Gait disturbance', 'Visual impairment', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Involuntary movements', 'Abnormality of nervous system physiology', 'All', 'Myoclonus', 'Abnormality of movement', 'Abnormality of the eye']",
58,PLCB1,NHLRC1,,,0.2028985507246377,"['Abnormality of central motor function', 'Focal-onset seizure', 'Generalized-onset seizure', 'Seizures', 'Abnormality of the integument', 'Abnormality of the nervous system', 'All', 'Myoclonus', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of skin morphology']",
59,PLCB1,EPM2A,,,0.2028985507246377,"['Abnormality of central motor function', 'Focal-onset seizure', 'Generalized-onset seizure', 'Seizures', 'Abnormality of the integument', 'Abnormality of the nervous system', 'All', 'Myoclonus', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of skin morphology']",
46,PCDH19,NHLRC1,,,0.27722772277227725,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Psychosis', 'Generalized tonic-clonic seizures with focal onset', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
47,PCDH19,EPM2A,,,0.27722772277227725,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Psychosis', 'Generalized tonic-clonic seizures with focal onset', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
42,NPC1,NHLRC1,,,0.2066115702479339,"['Abnormal eye physiology', 'Abnormality of the nervous system', 'Hepatic failure', 'Psychosis', 'Abnormality of metabolism/homeostasis', 'Abnormality of hepatobiliary system physiology', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Dementia', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Decreased liver function', 'Seizures', 'All', 'Abnormality of skin morphology']",
43,NPC1,EPM2A,,,0.2066115702479339,"['Abnormal eye physiology', 'Abnormality of the nervous system', 'Hepatic failure', 'Psychosis', 'Abnormality of metabolism/homeostasis', 'Abnormality of hepatobiliary system physiology', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Dementia', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Decreased liver function', 'Seizures', 'All', 'Abnormality of skin morphology']",
28,CTNND2,NHLRC1,,,0.23214285714285715,"['Abnormality of movement', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Generalized-onset seizure', 'Phenotypic abnormality', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Seizures', 'Abnormality of the eye']",
29,CTNND2,EPM2A,,,0.23214285714285715,"['Abnormality of movement', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Generalized-onset seizure', 'Phenotypic abnormality', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Seizures', 'Abnormality of the eye']",
55,SCN1B,EPM2A,,,0.20930232558139536,"['Absence seizure', 'Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Generalized-onset seizure', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'Generalized tonic-clonic seizures with focal onset', 'Visual impairment', 'Abnormality of the skin', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of the eye', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Generalized abnormality of skin', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the integument', 'Involuntary movements', 'Cognitive impairment', 'Behavioral abnormality', 'Abnormality of nervous system physiology', 'Seizures', 'All', 'Abnormality of skin morphology']",
