"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
5.18819721901607e-16,15,"88","Protein kinase activator activity ","DBF4 FAM20A GPRC5D CKS2 RPLP1 ETAA1 GPRC5C CKS1B TCL1B MTCP1 SPDYA MLST8 STRADA TOM1L1 DAZAP2"
1.11478790524559e-12,29,"778","Phosphotransferase activity, alcohol group as acceptor ","MAP4K3 MAP4K5 MUSK DGKG DGKA ARAF STRADB DGKH PASK DGKB MAP3K6 DGKZ DGKE PHKG2 BRAF NEK10 PHKG1 RPS6KB2 STRADA DGKK MMD DYRK2 TRIB2 CAMKK2 PRKAG3 PRKD3 KSR1 TRPT1 STK40"
1.24439932615417e-11,7,"13","Diacylglycerol kinase activity ","DGKG DGKA DGKH DGKB DGKZ DGKE DGKK"
1.95402179216624e-11,27,"754","Kinase binding ","DBF4 TRIB2 CKS2 SHC2 CBLC CKS1B TCL1B MTCP1 PRKAG3 JTB DOK7 FAF1 CCNY CNPPD1 KSR1 BRAF SPDYA FIZ1 DAZAP2 PPP2R5A MAPRE3 TELO2 RBBP6 TOM1L1 CACUL1 MOB1B STRADA"
2.59332126255395e-11,29,"891","Kinase activity ","MAP4K3 MAP4K5 MUSK DGKG DGKA ARAF STRADB DGKH PASK DGKB MAP3K6 DGKZ DGKE PHKG2 BRAF NEK10 PHKG1 RPS6KB2 STRADA DGKK MMD PRKD3 DYRK2 TRIB2 CAMKK2 PRKAG3 KSR1 CKS1B STK40"
6.32359716527417e-11,32,"1132","Enzyme regulator activity ","DBF4 PPP2R5A CCNY FAM20A GPRC5D CCNC CISH CKS2 HSPBP1 RPLP1 ETAA1 CCNL1 GPRC5C CKS1B TCL1B MTCP1 CCNL2 CCNQ BAG2 SPDYA MLST8 MOB1B STRADA TRIB2 DNAJC10 TOM1L1 SH3RF2 CDC20B PPP1R3B DAZAP2 UBE2L3 FAF1"
1.42992923882194e-10,8,"29","Protein serine/threonine kinase activator activity ","DBF4 FAM20A ETAA1 TCL1B MTCP1 MLST8 STRADA DAZAP2"
2.54950585184354e-10,7,"19","NAD+ kinase activity ","DGKG DGKA DGKH DGKB DGKZ DGKE DGKK"
2.57809313157369e-10,30,"1059","Transferase activity, transferring phosphorus-containing groups ","MAP4K3 MAP4K5 MUSK DGKG DGKA ARAF STRADB DGKH PASK DGKB MAP3K6 DGKZ DGKE PHKG2 BRAF NEK10 PHKG1 RPS6KB2 STRADA DGKK MMD PRKD3 DYRK2 TRIB2 CAMKK2 PRKAG3 KSR1 TRPT1 CKS1B STK40"
2.93441882874683e-10,24,"673","Protein kinase binding ","DBF4 TRIB2 CKS2 SHC2 CBLC CKS1B TCL1B MTCP1 PRKAG3 JTB DOK7 FAF1 CCNY CNPPD1 KSR1 BRAF SPDYA FIZ1 DAZAP2 MAPRE3 TELO2 RBBP6 TOM1L1 CACUL1"
1.8273162557306e-08,16,"348","Ubiquitin-like protein ligase binding ","SPOPL UBE2L3 SUMO2 MAGEC2 FAF1 MAGEA2 TRIB2 BAG2 CACUL1 DET1 USP13 UBE2K HSPBP1 DERL1 NKD2 UBE2C"
1.84405973564198e-08,10,"104","Ubiquitin-like protein binding ","CKS2 RNF111 CKS1B SPRTN USP13 USP5 RNF185 FAF1 RNFT1 TOM1L1"
3.10487088937763e-08,9,"81","Ubiquitin binding ","CKS2 CKS1B SPRTN USP13 USP5 RNF185 FAF1 RNFT1 TOM1L1"
4.27082251246264e-08,21,"668","Protein kinase activity ","MAP4K3 MAP4K5 MUSK ARAF STRADB PASK MAP3K6 PHKG2 BRAF NEK10 PHKG1 RPS6KB2 STRADA MMD DYRK2 TRIB2 CAMKK2 PRKAG3 PRKD3 KSR1 STK40"
5.78996330209807e-08,15,"330","Ubiquitin protein ligase binding ","SPOPL UBE2L3 MAGEC2 FAF1 MAGEA2 TRIB2 BAG2 CACUL1 DET1 USP13 UBE2K HSPBP1 DERL1 NKD2 SUMO2"
1.14131925332053e-07,34,"1733","Adenyl nucleotide binding ","HSPBP1 MAP4K3 MAP4K5 BAG2 DYRK2 MAP3K6 MUSK DGKG DGKA TRIB2 ARAF UBE2K STRADB DGKH UBE2S CAMKK2 PRKAG3 PASK PRKD3 DGKB KSR1 DGKZ DGKE PHKG2 BRAF NEK10 PHKG1 UBE2C RPS6KB2 UBE2G2 UBE2L3 STK40 STRADA DGKK"
2.1024782195846e-07,7,"48","Cyclin-dependent protein serine/threonine kinase regulator activity ","CCNY CCNC CKS2 CCNL1 CKS1B CCNL2 CCNQ"
2.59138990100838e-07,17,"488","Protein serine/threonine kinase activity ","MAP4K3 MAP4K5 ARAF STRADB PASK MAP3K6 PHKG2 BRAF NEK10 PHKG1 RPS6KB2 STRADA DYRK2 CAMKK2 PRKAG3 PRKD3 STK40"
2.67090292256954e-07,18,"552","Enzyme activator activity ","DBF4 PPP2R5A FAM20A GPRC5D CKS2 RPLP1 ETAA1 GPRC5C CKS1B TCL1B MTCP1 SPDYA MLST8 MOB1B STRADA DNAJC10 TOM1L1 DAZAP2"
4.49497335467498e-07,32,"1664","ATP binding ","MAP4K3 MAP4K5 DYRK2 MAP3K6 MUSK DGKG DGKA TRIB2 ARAF UBE2K STRADB DGKH UBE2S CAMKK2 PRKAG3 PASK PRKD3 DGKB KSR1 DGKZ DGKE PHKG2 BRAF NEK10 PHKG1 UBE2C RPS6KB2 UBE2G2 UBE2L3 STK40 STRADA DGKK"
