drug_concept_id	drug_concept_name	personCount
40232756	Oxycodone Hydrochloride 5 MG Oral Tablet	5062
19041823	Bisacodyl 10 MG Rectal Suppository [Bisac-Evac]	5053
19077546	Furosemide 20 MG Oral Tablet	4836
19059056	Aspirin 81 MG Oral Tablet	4809
993653	Magnesium Oxide 400 MG Oral Tablet	4728
40175174	Levothyroxine Sodium 0.025 MG Oral Tablet	4710
40174880	Levothyroxine Sodium 0.075 MG Oral Tablet	4683
957136	Furosemide 40 MG Oral Tablet	4642
1707773	Vancomycin 5 MG/ML Injectable Solution	4576
1332419	Amlodipine 5 MG Oral Tablet	4563
19093879	Magnesium Sulfate 4 MEQ/ML Injectable Solution	4524
43011870	0.5 ML heparin sodium, porcine 10000 UNT/ML Cartridge	4521
19020053	Acetaminophen 500 MG Oral Tablet	4513
19075601	clopidogrel 75 MG Oral Tablet	4511
40167218	Metoprolol Tartrate 50 MG Oral Tablet	4452
19049335	Potassium Chloride 1.33 MEQ/ML Oral Solution	4364
19078106	Hydrochlorothiazide 25 MG Oral Tablet	4356
40174947	Levothyroxine Sodium 0.1 MG Oral Tablet [Synthroid]	4349
40174888	Levothyroxine Sodium 0.075 MG Oral Tablet [Synthroid]	4326
40221904	Acetaminophen 300 MG / Codeine Phosphate 30 MG Oral Tablet	4299
40170012	Morphine Sulfate 4 MG/ML Injectable Solution	4211
19077241	Famotidine 20 MG Oral Tablet	4194
43011816	heparin sodium, porcine 100 UNT/ML Injectable Solution	4141
19019072	Ibuprofen 400 MG Oral Tablet	4128
19131157	dexpanthenol 2 MG/ML / Niacinamide 100 MG/ML / Riboflavin 2 MG/ML / Thiamine 100 MG/ML / Vitamin B6 2 MG/ML Injectable Solution	4040
19080217	pantoprazole 40 MG Delayed Release Oral Tablet	3981
40169766	Levothyroxine Sodium 0.1 MG Oral Tablet	3928
19037061	Calcium Gluconate 100 MG/ML Injectable Solution	3896
40231802	1 ML Diphenhydramine Hydrochloride 50 MG/ML Prefilled Syringe	3887
19049340	Potassium Chloride 0.4 MEQ/ML Injectable Solution	3846
19019419	Ondansetron 4 MG Oral Tablet	3840
40163868	1 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe	3814
19122573	Esomeprazole 40 MG Injection [Nexium]	3813
929889	lansoprazole 30 MG Delayed Release Oral Capsule	3757
1746143	Piperacillin 200 MG/ML / tazobactam 25 MG/ML Injectable Solution	3727
19123105	Esomeprazole 40 MG Delayed Release Oral Capsule	3722
40175210	Levothyroxine Sodium 0.05 MG Oral Tablet	3646
1539411	Clopixol 10mg tablets (Waymade Healthcare Plc) 100 tablet	3526
19075034	Cephalexin 500 MG Oral Capsule	3496
1127433	Acetaminophen 325 MG Oral Tablet	3485
968985	Calcium Chloride 0.001 MEQ/ML / Glucose 50 MG/ML / Potassium Chloride 0.004 MEQ/ML / Sodium Chloride 0.103 MEQ/ML / Sodium Lactate 0.028 MEQ/ML Injectable Solution	3450
19073093	Amlodipine 10 MG Oral Tablet	3361
19041255	Acetaminophen 650 MG Rectal Suppository [Acephen]	3311
19077343	ferrous sulfate 325 MG Delayed Release Oral Tablet	3308
19093963	Magnesium Sulfate 0.163 MEQ/ML Injectable Solution	3160
19036517	Propofol 10 MG/ML Injectable Suspension [Diprivan]	3093
1545999	atorvastatin 20 MG Oral Tablet [Lipitor]	3087
40163867	1 ML Ketorolac Tromethamine 15 MG/ML Prefilled Syringe	3052
968477	3 ML Sodium Chloride 9 MG/ML Prefilled Syringe	3041
40175009	Levothyroxine Sodium 0.125 MG Oral Tablet [Synthroid]	2997
1539407	Simvastatin 40 MG Oral Tablet	2964
19129446	1 ML Lorazepam 2 MG/ML Cartridge	2960
1551170	Acute iritis	2959
967434	Simethicone 80 MG Chewable Tablet	2959
40163555	Warfarin Sodium 5 MG Oral Tablet [Coumadin]	2921
19079322	Potassium Chloride 0.1 MEQ/ML Injectable Solution	2918
19019418	Omeprazole 20 MG Delayed Release Oral Capsule	2888
40167196	5 ML Metoprolol Tartrate 1 MG/ML Injection	2883
40166830	24 HR metoprolol succinate 50 MG Extended Release Oral Tablet	2862
19080128	Lisinopril 10 MG Oral Tablet	2858
40226999	Lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	2855
1836434	Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet	2854
1746142	Piperacillin 40 MG/ML / tazobactam 5 MG/ML Injectable Solution	2834
19093947	Magnesium Sulfate 0.325 MEQ/ML Injectable Solution	2801
967825	Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution	2786
44818411	0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [A	2784
19078555	Regular Insulin, Human 100 UNT/ML Injectable Solution	2772
19039742	Vancomycin 50 MG/ML Injectable Solution [Vancocin]	2755
40164929	Metformin hydrochloride 500 MG Oral Tablet	2755
40162494	Acetaminophen 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet	2753
19073777	Azithromycin 250 MG Oral Tablet	2731
19077513	Folic Acid 1 MG Oral Tablet	2669
19132783	Calcium Carbonate 1250 MG / Cholecalciferol 200 UNT Oral Tablet	2659
1154615	200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler	2648
19070371	Sodium Phosphate, Dibasic 59.3 MG/ML / Sodium Phosphate, Monobasic 161 MG/ML Enema	2645
40164825	Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007, IVR-148 (H1N1) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated A-Uruguay-716-2007, NYMC X-175C (H3N2) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated B-Brisbane-60-2008 strain 0.03	2609
40166828	24 HR metoprolol succinate 25 MG Extended Release Oral Tablet	2577
19078924	Midazolam 1 MG/ML Injectable Solution	2493
40244026	Naloxone Hydrochloride 0.4 MG/ML Injectable Solution	2490
1344176	Albumin Human, USP 50 MG/ML Injectable Solution	2487
967905	Extra Strength Non-Aspirin	2484
19074976	Ceftriaxone 20 MG/ML Injectable Solution	2471
19019336	Nitroglycerin 0.4 MG Sublingual Tablet	2464
40174972	Levothyroxine Sodium 0.112 MG Oral Tablet	2463
19082706	Sodium Phosphate, Dibasic 142 MG/ML / Sodium Phosphate, Monobasic 276 MG/ML Injectable Solution	2442
19077654	Glucose 5000 MG Chewable Tablet	2432
1107882	Loratadine 10 MG Oral Tablet	2424
953102	4848-18 CONTINUOUS EPIDURAL 18G TUOHY - regional anesthesia kit	2410
40129954	Lanolin Topical Ointment	2391
19049334	Potassium Chloride 0.2 MEQ/ML Injectable Solution	2368
40174907	Levothyroxine Sodium 0.088 MG Oral Tablet	2333
19074247	Bisacodyl 5 MG Delayed Release Oral Tablet	2283
1326142	Oxytocin 0.02 UNT/ML Injectable Solution	2271
19077344	ferrous sulfate 325 MG Oral Tablet	2267
19027663	potassium phosphate 3 MMOL/ML Injectable Solution	2242
987250	aspen .05g/mL INTRADERMAL; SUBCUTANEOUS INJECTION, SOLUTION	2235
40175001	Levothyroxine Sodium 0.125 MG Oral Tablet	2218
1790982	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2216
19080129	Lisinopril 20 MG Oral Tablet	2209
19071700	Hyperammonemia	2190
19078130	Sodium polystyrene sulfonate 250 MG/ML Oral Suspension [Kionex]	2180
19049684	Potassium Chloride 10 MEQ Extended Release Oral Tablet	2170
19019112	Chlordiazepoxide Hydrochloride 10 MG Oral Capsule	2143
40241504	Dexamethasone phosphate 4 MG/ML Injectable Solution	2134
1567232	Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoLog]	2077
40185304	Losartan Potassium 50 MG Oral Tablet	2041
1545997	atorvastatin 10 MG Oral Tablet	2039
19079658	Spironolactone 25 MG Oral Tablet	2009
1707348	Metronidazole 5 MG/ML Injectable Solution	2005
1551101	Dipyridamole 50 MG Oral Tablet	2002
19019113	Chlordiazepoxide Hydrochloride 10 MG Oral Capsule	1989
43526147	Dexmedetomidine 0.004 MG/ML Injectable Solution [Precedex]	1985
1154109	Fentanyl 0.02 MG/ML Injectable Solution	1982
1308251	Lisinopril 5 MG Oral Tablet	1982
44818420	0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [F	1977
40161340	Norepinephrine 0.016 MG/ML Injectable Solution	1961
19123104	Esomeprazole 20 MG Delayed Release Oral Capsule [Nexium]	1957
1742256	Levofloxacin 5 MG/ML Injectable Solution	1942
19134047	tramadol hydrochloride 50 MG Oral Tablet	1939
766815	quetiapine 25 MG Oral Tablet [Seroquel]	1934
19078557	Regular Insulin, Human 100 UNT/ML Injectable Solution [Humulin R]	1929
40173060	Hydromorphone Hydrochloride 0.2 MG/ML Injectable Solution	1917
1545959	atorvastatin 80 MG Oral Tablet	1917
19127213	10 ML Sodium Chloride 9 MG/ML Prefilled Syringe	1913
40173104	Hydromorphone Hydrochloride 2 MG/ML Injectable Solution	1897
40168136	sennosides, USP 217 MG Oral Tablet	1896
1545996	atorvastatin 40 MG Oral Tablet	1894
40162515	Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet	1853
1309992	Amiodarone hydrochloride 200 MG Oral Tablet	1835
40169761	Levofloxacin 25 MG/ML Injectable Solution	1812
19078559	Insulin Glargine 100 UNT/ML Injectable Solution	1796
1742255	Levofloxacin 500 MG Oral Tablet	1794
19123592	atorvastatin 20 MG Oral Tablet	1787
19134227	Witch Hazel 500 MG/ML Medicated Pad	1784
40166824	24 HR metoprolol succinate 100 MG Extended Release Oral Tablet	1781
19077548	gabapentin 300 MG Oral Capsule	1778
19072269	Acetylcysteine 100 MG/ML Inhalant Solution	1776
19077547	gabapentin 100 MG Oral Capsule	1766
44818427	0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [F	1766
1545998	atorvastatin 10 MG Oral Tablet [Lipitor]	1763
19123593	atorvastatin 40 MG Oral Tablet [Lipitor]	1763
19115197	Amoxicillin 875 MG / Clavulanate 125 MG Oral Tablet	1748
40175059	Levothyroxine Sodium 0.15 MG Oral Tablet [Synthroid]	1741
42708391	Docusate Sodium 4 MG/ML Oral Solution	1740
43012671	Ergocalciferol 50000 UNT Oral Capsule	1734
19027427	Haloperidol 5 MG/ML Injectable Solution	1705
19112920	Esomeprazole 40 MG Injection	1703
40227012	Lidocaine Hydrochloride 10 MG/ML Injectable Solution	1701
19023551	Omeprazole 40 MG Delayed Release Oral Capsule	1698
40163535	Warfarin Sodium 2.5 MG Oral Tablet [Coumadin]	1674
1551192	Prednisone 5 MG Oral Tablet	1669
19019273	Naproxen 500 MG Oral Tablet	1663
1560751	50 ML Glucose 500 MG/ML Prefilled Syringe	1661
1396154	ferrous sulfate 300 MG Oral Tablet	1661
19077763	Guaifenesin 20 MG/ML Oral Solution	1631
906891	Ceftriaxone 100 MG/ML Injectable Solution	1611
40221822	Dextromethorphan Hydrobromide 2 MG/ML / Guaifenesin 20 MG/ML Oral Solution	1606
40173081	Hydromorphone Hydrochloride 10 MG/ML Injectable Solution	1603
1326196	Oxytocin 0.06 UNT/ML Injectable Solution	1575
798875	Clonazepam 0.5 MG Oral Tablet	1572
40163473	Trazodone Hydrochloride 50 MG Oral Tablet	1558
40166541	Tamsulosin hydrochloride 0.4 MG Oral Capsule [Flomax]	1555
40163525	Warfarin Sodium 2 MG Oral Tablet [Coumadin]	1554
40163554	Warfarin Sodium 5 MG Oral Tablet	1543
19093967	100 ML Magnesium Sulfate 10 MG/ML Injection	1531
1539463	Simvastatin 10 MG Oral Tablet	1529
19011661	Polyvinyl Alcohol 0.014 ML/ML Ophthalmic Solution	1526
19035115	Metronidazole 500 MG Oral Tablet [Flagyl]	1524
19078558	Insulin, Aspart, Human 100 UNT/ML Injectable Solution	1524
1518292	Dexamethasone 4 MG Oral Tablet	1511
19080181	Methylprednisolone 62.5 MG/ML Injectable Solution	1495
40227544	Diphenhydramine Hydrochloride 50 MG Oral Capsule [Banophen]	1487
19036366	Calcium Carbonate 1500 MG / Cholecalciferol 400 UNT Oral Tablet	1476
19079119	Nystatin 100000 UNT/ML Oral Suspension	1472
1551123	Prednisone 50 MG Oral Tablet	1460
19121909	Glycerin 2100 MG Rectal Suppository	1453
45776408	Lidocaine 0.05 MG/MG Topical Ointment	1451
40164897	Metformin hydrochloride 1000 MG Oral Tablet	1445
19073094	Amlodipine 2.5 MG Oral Tablet	1441
19072933	Alprazolam 0.25 MG Oral Tablet	1440
40161137	Cefazolin 40 MG/ML Injectable Solution	1440
19123351	Glucose 50 MG/ML / Potassium Chloride 0.02 MEQ/ML / Sodium Chloride 0.0769 MEQ/ML Injectable Solution	1434
19073778	Azithromycin 100 MG/ML Injectable Solution	1426
40173612	Alendronic acid 70 MG Oral Tablet	1417
19076492	Digoxin 0.125 MG Oral Tablet [Lanoxin]	1396
40232454	Diphenhydramine Hydrochloride 50 MG/ML Injectable Solution	1391
40169220	120 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler	1375
40166540	Tamsulosin hydrochloride 0.4 MG Oral Capsule	1371
19028313	Ceftriaxone 350 MG/ML Injectable Solution	1369
922804	Ciprofloxacin 500 MG Oral Tablet	1369
40175050	Levothyroxine Sodium 0.15 MG Oral Tablet	1364
1560553	Glucose 100 MG/ML Injectable Solution	1357
40231804	12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet	1350
1771215	BARD URETHRAL CATHETER TRAY	1327
40175291	POLYETHYLENE GLYCOL 3350 59 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution [Golytely]	1315
1346827	carvedilol 6.25 MG Oral Tablet [Coreg]	1289
956877	Furosemide 80 MG Oral Tablet	1283
19079028	Nitroglycerin 0.2 MG/ML Injectable Solution	1281
45776083	0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.03 MG/ML / Influenza B virus vaccine,	1276
1344175	Albumin Human, USP 250 MG/ML Injectable Solution	1273
40185280	Losartan Potassium 25 MG Oral Tablet	1262
40163492	Zolpidem tartrate 10 MG Oral Tablet	1259
19006967	Hydrocortisone 100 MG Injection [Solu-Cortef]	1259
19099840	Benzocaine 200 MG/ML Topical Spray	1251
40174964	Levothyroxine Sodium 0.1 MG/ML Injectable Solution	1249
19041463	Acetaminophen 500 MG Oral Tablet [Genebs]	1244
1346991	carvedilol 3.125 MG Oral Tablet [Coreg]	1243
42707671	Benzocaine 15 MG / Menthol 3.6 MG Oral Lozenge [Cepacol Sore Throat Pain Relief]	1242
1383844	24 HR Isosorbide Mononitrate 30 MG Extended Release Oral Tablet [Imdur]	1241
19018811	Atenolol 25 MG Oral Tablet	1237
723042	Diazepam 5 MG Oral Tablet	1237
1707772	Vancomycin 50 MG/ML Injectable Solution	1226
739209	Sertraline 50 MG Oral Tablet	1225
1314008	5-Hydroxytryptophan measurement	1221
19036004	Calcium Carbonate 1250 MG Oral Tablet	1216
19023636	Citalopram 20 MG Oral Tablet	1210
40175077	Levothyroxine Sodium 0.175 MG Oral Tablet	1201
1308221	Lisinopril 40 MG Oral Tablet	1190
40175400	Enema syringe Higginson's plastic	1173
19123103	Esomeprazole 20 MG Delayed Release Oral Capsule	1165
19019630	Diatrizoate 300 MG/ML Injectable Solution	1163
19069200	Ascorbic Acid 500 MG Oral Tablet	1158
778765	Cyclobenzaprine hydrochloride 10 MG Oral Tablet	1156
40232754	Oxycodone Hydrochloride 5 MG Oral Capsule	1152
902807	Chlorpheniramine 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine 6 MG/ML Oral Solution	1138
19023368	montelukast 10 MG Oral Tablet	1129
19019074	Ibuprofen 800 MG Oral Tablet	1126
961050	Benzalkonium Chloride 1.3 MG/ML Medicated Pad	1121
19057271	Lorazepam 2 MG/ML Injectable Solution	1106
19075602	Clotrimazole 10 MG/ML Topical Cream	1098
19044756	Vitamin K 1 10 MG/ML Injectable Solution	1094
19078928	Milrinone 0.2 MG/ML Injectable Solution	1088
43013021	bacitracin zinc 0.5 UNT/MG Topical Ointment	1088
19078461	Ibuprofen 200 MG Oral Tablet	1081
19135253	Calcium Citrate 1500 MG / Cholecalciferol 250 UNT Oral Tablet	1080
40174776	Hydralazine Hydrochloride 20 MG/ML Injectable Solution	1076
19018935	Digoxin 0.125 MG Oral Tablet	1069
40168991	pantoprazole 40 MG Injection [Protonix]	1066
19102189	Omeprazole 20 MG Delayed Release Oral Tablet	1055
1346828	carvedilol 12.5 MG Oral Tablet [Coreg]	1051
19075380	Ciprofloxacin 500 MG Oral Tablet	1050
40165710	Esomeprazole 2.67 MG/ML Oral Suspension [Nexium]	1047
40169245	14 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]	1038
40163511	Warfarin Sodium 1 MG Oral Tablet [Coumadin]	1037
19078530	insulin human, isophane 100 UNT/ML Injectable Suspension [Humulin N]	1036
19034804	Methylprednisolone 40 MG Injection [A-MethaPred]	1020
42709116	potassium phosphate 155 MG / Sodium Phosphate, Dibasic 852 MG / Sodium Phosphate, Monobasic 130 MG Oral Tablet [K-Phos Neutral]	1019
19073215	Ampicillin 250 MG/ML / Sulbactam 125 MG/ML Injectable Solution	1019
1308250	Acetaminophen 300 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet [Perloxx 2.5/300]	1016
19074672	Captopril 12.5 MG Oral Tablet	1012
19126665	Sodium Chloride 0.111 MEQ/ML Nasal Spray	1012
1742254	Levofloxacin 250 MG Oral Tablet	1011
19127677	Mineral Oil 0.15 MG/MG / Petrolatum 0.83 MG/MG Ophthalmic Ointment	1007
1786652	Cephalexin 500 MG Oral Tablet	1006
19112761	tiotropium 0.018 MG/ACTUAT Inhalant Powder	1002
1518261	Betamethasone valerate 0.1% ointment 20% in Emulsifying ointment (Special Order)	996
19019272	Naproxen 250 MG Oral Tablet	988
1707346	Metronidazole 500 MG Oral Tablet	985
40175294	POLYETHYLENE GLYCOL 3350 60 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution	977
40173099	Hydromorphone Hydrochloride 2 MG Oral Tablet [Dilaudid]	970
40222796	Meclizine Hydrochloride 25 MG Oral Tablet	966
19027493	Famotidine 10 MG/ML Injectable Solution	965
40163567	Warfarin Sodium 7.5 MG Oral Tablet [Coumadin]	964
40169902	Morphine Sulfate 10 MG/ML Injectable Solution	939
40160990	0.6 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]	936
19035072	Nitroglycerin 0.02 MG/MG Topical Ointment [Nitro-Bid]	936
40226998	Lidocaine Hydrochloride 0.05 MG/MG Transdermal Patch	934
40240992	Levothyroxine Sodium 0.02 MG/ML Injectable Solution	929
19072176	Acetaminophen 32 MG/ML Oral Solution	925
19122432	sennosides, USP 17.2 MG Oral Tablet	922
19022750	carvedilol 12.5 MG Oral Tablet	921
1755040	Endarterectomy of superior mesenteric artery and patch repair of superior mesenteric artery NEC	920
40169706	Labetalol hydrochloride 5 MG/ML Injectable Solution	914
1328689	Diltiazem Hydrochloride 30 MG Oral Tablet	914
19072270	Acetylcysteine 200 MG/ML Inhalant Solution	913
19114557	alteplase 1 MG/ML Injectable Solution [Cathflo Activase]	909
40165245	Rosuvastatin calcium 10 MG Oral Tablet	905
725178	1 ML Naloxone Hydrochloride 0.4 MG/ML Cartridge	904
19082350	24 HR Isosorbide Mononitrate 30 MG Extended Release Oral Tablet	902
19008572	Hydrocortisone 10 MG/ML Topical Cream	902
739207	Sertraline 100 MG Oral Tablet	901
40160992	0.8 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]	897
42708743	Docusate Sodium 10 MG/ML Oral Suspension	897
42902746	Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	895
40231639	sennosides, USP 1.76 MG/ML Oral Solution [Senokot]	887
40169977	Morphine Sulfate 25 MG/ML Injectable Solution	885
19022749	carvedilol 6.25 MG Oral Tablet	884
711586	Cephalexin 25 MG/ML Oral Suspension	884
797632	Citalopram 10 MG Oral Tablet	873
939534	Sodium Bicarbonate 1 MEQ/ML Injectable Solution	872
1836433	Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet	872
19019003	Fluconazole 200 MG Oral Tablet	861
19019114	Lorazepam 2 MG Oral Tablet	853
40169883	Morphine Sulfate 1 MG/ML Injectable Solution	850
19058319	Purified Protein Derivative of Tuberculin 50 UNT/ML Injectable Solution [Tubersol]	850
1309995	Amiodarone hydrochloride 50 MG/ML Injectable Solution	845
19076659	Dobutamine 2 MG/ML Injectable Solution	845
904827	{28 (drospirenone 0.25 MG / Estradiol 0.5 MG Oral Tablet) } Pack [Angeliq 0.25/0.5 28 Day]	843
19049106	Potassium Chloride 20 MEQ Extended Release Oral Tablet	843
19079171	Ondansetron 8 MG Oral Tablet	836
19098474	ezetimibe 10 MG Oral Tablet [Zetia]	835
40175026	Levothyroxine Sodium 0.137 MG Oral Tablet	831
42799675	Dopamine Hydrochloride 1.6 MG/ML Injectable Solution	831
40167202	Metoprolol Tartrate 100 MG Oral Tablet	820
19121580	tiotropium 0.018 MG/ACTUAT Inhalant Powder [Spiriva]	817
40174811	Hydralazine Hydrochloride 25 MG Oral Tablet	814
1709202	meropenem 50 MG/ML Injectable Solution	814
1154192	montelukast 10 MG Oral Tablet [Singulair]	807
1322190	Canadian Hampshire pig	806
1136682	benzonatate 100 MG Oral Capsule	806
40169221	120 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler [Flonase]	800
40232435	Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution	799
40184727	Loperamide Hydrochloride 2 MG Oral Capsule	794
1167323	Allopurinol 100 MG Oral Tablet	794
19137328	Thiamine 100 MG Oral Tablet	793
40227057	Lidocaine Hydrochloride 20 MG/ML Mucous Membrane Topical Solution	788
1328691	Diltiazem Hydrochloride 5 MG/ML Injectable Solution	785
1518258	Dexamethasone 0.5 MG Oral Tablet	783
43011826	heparin sodium, porcine 1000 UNT/ML Injectable Solution	782
40175249	Nalbuphine Hydrochloride 10 MG/ML Injectable Solution	773
19075953	Vitamin B 12 1 MG Oral Tablet	772
907020	24 HR Etodolac 400 MG Extended Release Oral Tablet	772
19028193	Isopropyl Alcohol 0.7 ML/ML Medicated Pad	771
40162311	Diclofenac Sodium 0.01 MG/MG Topical Gel	761
40223895	Miconazole Nitrate 0.02 MG/MG Topical Ointment [Critic-Aid Clear]	760
40175394	Pravastatin Sodium 20 MG Oral Tablet	760
19003514	2 ML Digoxin 0.25 MG/ML Injection	759
939510	Aldosterone recumbent measurement	754
40185276	Losartan Potassium 100 MG Oral Tablet	750
19132782	Calcium Carbonate 1500 MG / Cholecalciferol 200 UNT Oral Tablet	750
1154108	Fentanyl 0.01 MG/ML Injectable Solution	749
19002487	Mupirocin 0.02 MG/MG Topical Ointment [Bactroban]	744
922802	Ciprofloxacin 500 MG Oral Tablet	724
1742284	Levofloxacin 750 MG Oral Tablet	724
19077638	Glipizide 5 MG Oral Tablet	724
1308877	valsartan 160 MG Oral Tablet [Diovan]	723
19073187	Amoxicillin 500 MG Oral Capsule	716
19031564	Clonazepam 1 MG Oral Tablet [Klonopin]	716
19129406	Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injectable Solution	715
19047039	carvedilol 25 MG Oral Tablet [Coreg]	715
40175107	Levothyroxine Sodium 0.2 MG Oral Tablet [Synthroid]	715
19132737	Simethicone 66.7 MG/ML Oral Suspension [Genasyme]	714
40163534	Warfarin Sodium 2.5 MG Oral Tablet	713
1308876	valsartan 80 MG Oral Tablet [Diovan]	712
