drug_concept_id,personCnt,concept_name
19049904,639,Potassium Chloride 20 MEQ Extended Release Oral Tablet [Klor-Con]
40163492,638,Zolpidem tartrate 10 MG Oral Tablet
19135374,632,Calcium Chloride 0.0014 MEQ/ML / Potassium Chloride 0.004 MEQ/ML / Sodium Chloride 0.103 MEQ/ML / Sodium Lactate 0.028 MEQ/ML Injectable Solution
40169943,620,Morphine Sulfate 2 MG/ML Injectable Solution
19137328,619,Thiamine 100 MG Oral Tablet
1113076,593,Ipratropium Bromide 0.2 MG/ML Inhalant Solution
739209,591,Sertraline 50 MG Oral Tablet
40221904,588,Acetaminophen 300 MG / Codeine Phosphate 30 MG Oral Tablet
40163460,587,Trazodone Hydrochloride 100 MG Oral Tablet
40173071,586,1 ML Hydromorphone Hydrochloride 1 MG/ML Injection
40168888,578,benztropine mesylate 1 MG Oral Tablet
1107882,577,Loratadine 10 MG Oral Tablet
766815,570,quetiapine 25 MG Oral Tablet [Seroquel]
19123105,566,Esomeprazole 40 MG Delayed Release Oral Capsule
739207,564,Sertraline 100 MG Oral Tablet
1560556,559,Glucose 500 MG/ML Injectable Solution
40231041,558,Glucose 0.4 MG/MG Oral Gel [Glutose]
19016865,556,Glucagon 1 MG Injection [GlucaGen]
19077548,553,gabapentin 300 MG Oral Capsule
19077930,551,Haloperidol 5 MG Oral Tablet
19019273,541,Naproxen 500 MG Oral Tablet
1836434,539,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
766816,538,quetiapine 100 MG Oral Tablet [Seroquel]
1127433,532,Acetaminophen 325 MG Oral Tablet
19023636,513,Citalopram 20 MG Oral Tablet
40231802,510,1 ML Diphenhydramine Hydrochloride 50 MG/ML Prefilled Syringe
40168892,497,2 ML benztropine mesylate 1 MG/ML Injection
19034073,487,Fentanyl 0.05 MG/ML Injectable Solution
19057271,479,Lorazepam 2 MG/ML Injectable Solution
19046742,478,Aspirin 325 MG Oral Tablet
1551170,473,Prednisone 20 MG Oral Tablet
19078106,459,Hydrochlorothiazide 25 MG Oral Tablet
1113346,457,Aspirin 81 MG Chewable Tablet
766924,456,quetiapine 50 MG Oral Tablet [Seroquel]
19019418,451,Omeprazole 20 MG Delayed Release Oral Capsule
19041823,437,Bisacodyl 10 MG Rectal Suppository [Bisac-Evac]
19077343,423,ferrous sulfate 325 MG Delayed Release Oral Tablet
40164825,413,"Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007, IVR-148 (H1N1) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated A-Uruguay-716-2007, NYMC X-175C (H3N2) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated B-Brisbane-60-2008 strain 0.03"
40162494,412,Acetaminophen 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
1112892,399,Aspirin 325 MG Delayed Release Oral Tablet
778765,398,Cyclobenzaprine hydrochloride 10 MG Oral Tablet
40163867,394,1 ML Ketorolac Tromethamine 15 MG/ML Prefilled Syringe
40227544,393,Diphenhydramine Hydrochloride 50 MG Oral Capsule [Banophen]
1567236,391,"3 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoLog]"
19077463,391,Fluoxetine 20 MG Oral Capsule
19134047,391,tramadol hydrochloride 50 MG Oral Tablet
44818411,388,"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [A"
19077547,387,gabapentin 100 MG Oral Capsule
43011870,383,"0.5 ML heparin sodium, porcine 10000 UNT/ML Cartridge"
19080217,382,pantoprazole 40 MG Delayed Release Oral Tablet
993653,380,Magnesium Oxide 400 MG Oral Tablet
798876,379,Clonazepam 1 MG Oral Tablet
19049335,376,Potassium Chloride 1.33 MEQ/ML Oral Solution
19115197,375,Amoxicillin 875 MG / Clavulanate 125 MG Oral Tablet
968985,374,Calcium Chloride 0.001 MEQ/ML / Glucose 50 MG/ML / Potassium Chloride 0.004 MEQ/ML / Sodium Chloride 0.103 MEQ/ML / Sodium Lactate 0.028 MEQ/ML Injectable Solution
19077344,372,ferrous sulfate 325 MG Oral Tablet
929889,371,lansoprazole 30 MG Delayed Release Oral Capsule
40167213,368,Metoprolol Tartrate 25 MG Oral Tablet
967825,367,Glucose 50 MG/ML / Sodium Chloride 0.154 MEQ/ML Injectable Solution
1746143,366,Piperacillin 200 MG/ML / tazobactam 25 MG/ML Injectable Solution
723042,364,Diazepam 5 MG Oral Tablet
40164929,363,Metformin hydrochloride 500 MG Oral Tablet
19078461,360,Ibuprofen 200 MG Oral Tablet
40226999,358,Lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]
40169220,354,120 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler
19019272,354,Naproxen 250 MG Oral Tablet
968477,354,3 ML Sodium Chloride 9 MG/ML Prefilled Syringe
953102,352,50 ML Famotidine 0.4 MG/ML Injection
967434,351,Simethicone 80 MG Chewable Tablet
1707773,351,Vancomycin 5 MG/ML Injectable Solution
19122573,348,Esomeprazole 40 MG Injection [Nexium]
725178,348,Mirtazapine 15 MG Oral Tablet
1332419,348,Amlodipine 5 MG Oral Tablet
19059056,348,Aspirin 81 MG Oral Tablet
40238254,348,Divalproex Sodium 500 MG Delayed Release Oral Tablet
19080128,341,Lisinopril 10 MG Oral Tablet
19075602,340,Clotrimazole 10 MG/ML Topical Cream
766819,332,quetiapine 100 MG Oral Tablet
19123104,331,Esomeprazole 20 MG Delayed Release Oral Capsule [Nexium]
19093879,330,Magnesium Sulfate 4 MEQ/ML Injectable Solution
718670,327,Nicotine 2 MG Chewing Gum
40129954,327,Lanolin Topical Ointment
44818427,327,"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [F"
44818420,326,"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [F"
1551123,326,Prednisone 50 MG Oral Tablet
19019307,323,24 HR Nicotine 0.875 MG/HR Transdermal Patch
40162515,322,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
957134,321,Furosemide 10 MG/ML Injectable Solution
19019306,316,24 HR Nicotine 0.583 MG/HR Transdermal Patch
19074976,314,Ceftriaxone 20 MG/ML Injectable Solution
906891,313,Metoclopramide 10 MG Oral Tablet
19019074,312,Ibuprofen 800 MG Oral Tablet
19077763,309,Guaifenesin 20 MG/ML Oral Solution
19017556,309,quetiapine 200 MG Oral Tablet [Seroquel]
19004693,308,Risperidone 1 MG Oral Tablet [Risperdal]
19016799,307,olanzapine 5 MG Oral Tablet [Zyprexa]
19074850,306,Cefazolin 20 MG/ML Injectable Solution
40173104,305,Hydromorphone Hydrochloride 2 MG/ML Injectable Solution
797632,304,Citalopram 10 MG Oral Tablet
1326142,303,Oxytocin 0.02 UNT/ML Injectable Solution
19023551,302,Omeprazole 40 MG Delayed Release Oral Capsule
1707346,300,Metronidazole 500 MG Oral Tablet
19074247,297,Bisacodyl 5 MG Delayed Release Oral Tablet
766820,292,quetiapine 25 MG Oral Tablet
19079497,287,Sertraline 25 MG Oral Tablet
19073093,287,Amlodipine 10 MG Oral Tablet
40173815,280,Chlordiazepoxide Hydrochloride 25 MG Oral Capsule
40244026,272,Naloxone Hydrochloride 0.4 MG/ML Injectable Solution
19134227,269,Witch Hazel 500 MG/ML Medicated Pad
19079322,265,Potassium Chloride 0.1 MEQ/ML Injectable Solution
766923,264,quetiapine 50 MG Oral Tablet
19093947,264,Magnesium Sulfate 0.325 MEQ/ML Injectable Solution
19075394,263,Citalopram 40 MG Oral Tablet
19102836,263,aripiprazole 5 MG Oral Tablet [Abilify]
19008572,262,Hydrocortisone 10 MG/ML Topical Cream
40222663,261,Hydroxyzine Hydrochloride 25 MG Oral Tablet
987250,261,Lactulose 667 MG/ML Oral Solution
722071,259,Paroxetine 20 MG Oral Tablet
1786652,258,Cephalexin 500 MG Oral Tablet
19070371,258,"Sodium Phosphate, Dibasic 59.3 MG/ML / Sodium Phosphate, Monobasic 161 MG/ML Enema"
40221871,257,24 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet
1154621,254,200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil]
19077546,253,Furosemide 20 MG Oral Tablet
40221822,247,Dextromethorphan Hydrobromide 2 MG/ML / Guaifenesin 20 MG/ML Oral Solution
40168136,247,"sennosides, USP 217 MG Oral Tablet"
40167218,246,Metoprolol Tartrate 50 MG Oral Tablet
19039742,244,Vancomycin 50 MG/ML Injectable Solution [Vancocin]
19023368,244,montelukast 10 MG Oral Tablet
715940,243,Escitalopram 10 MG Oral Tablet
19004694,239,Risperidone 2 MG Oral Tablet [Risperdal]
1308251,239,Lisinopril 5 MG Oral Tablet
19093963,239,Magnesium Sulfate 0.163 MEQ/ML Injectable Solution
1746142,235,Piperacillin 40 MG/ML / tazobactam 5 MG/ML Injectable Solution
1539411,235,Simvastatin 20 MG Oral Tablet
19123103,234,Esomeprazole 20 MG Delayed Release Oral Capsule
40227057,233,Lidocaine Hydrochloride 20 MG/ML Mucous Membrane Topical Solution
19011661,233,Polyvinyl Alcohol 0.014 ML/ML Ophthalmic Solution
798877,232,Clonazepam 2 MG Oral Tablet
43012671,232,Ergocalciferol 50000 UNT Oral Capsule
40232444,231,Diphenhydramine Hydrochloride 25 MG Oral Capsule
715965,229,Escitalopram 10 MG Oral Tablet [Lexapro]
19077550,228,gabapentin 600 MG Oral Tablet
43011816,228,"heparin sodium, porcine 100 UNT/ML Injectable Solution"
19078924,228,Midazolam 1 MG/ML Injectable Solution
19098166,228,Escitalopram 20 MG Oral Tablet
1551101,226,Prednisone 10 MG Oral Tablet
19080129,226,Lisinopril 20 MG Oral Tablet
19041463,223,Acetaminophen 500 MG Oral Tablet [Genebs]
19037061,221,Calcium Gluconate 100 MG/ML Injectable Solution
40238246,220,Divalproex Sodium 250 MG Delayed Release Oral Tablet
40227012,218,Lidocaine Hydrochloride 10 MG/ML Injectable Solution
1742255,218,Levofloxacin 500 MG Oral Tablet
19112920,218,Esomeprazole 40 MG Injection
961050,218,Ranitidine 150 MG Oral Tablet
1539407,217,Simvastatin 40 MG Oral Tablet
40184727,216,Loperamide Hydrochloride 2 MG Oral Capsule
19016821,216,olanzapine 10 MG Oral Tablet [Zyprexa]
19075380,215,Ciprofloxacin 500 MG Oral Tablet
19078555,214,"Regular Insulin, Human 100 UNT/ML Injectable Solution"
19019336,212,Nitroglycerin 0.4 MG Sublingual Tablet
40168654,211,Clonidine Hydrochloride 0.1 MG Oral Tablet
19072381,210,Albuterol 0.09 MG/ACTUAT Inhalant Solution
19071493,208,quetiapine 300 MG Oral Tablet [Seroquel]
40175294,208,POLYETHYLENE GLYCOL 3350 60 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution
941477,207,terconazole 4 MG/ML Vaginal Cream
43013021,206,bacitracin zinc 0.5 UNT/MG Topical Ointment
19080181,205,Methylprednisolone 62.5 MG/ML Injectable Solution
1567232,204,"Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoLog]"
19035115,203,Metronidazole 500 MG Oral Tablet [Flagyl]
743717,203,24 HR venlafaxine 150 MG Extended Release Oral Capsule
751247,203,Lithium Carbonate 300 MG Oral Capsule
967905,202,Sodium Chloride 0.0769 MEQ/ML Injectable Solution
1545999,202,atorvastatin 20 MG Oral Tablet [Lipitor]
42902746,202,Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler
19058319,201,Purified Protein Derivative of Tuberculin 50 UNT/ML Injectable Solution [Tubersol]
40231804,200,12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet
40169245,200,14 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]
19073187,199,Amoxicillin 500 MG Oral Capsule
40173060,197,Hydromorphone Hydrochloride 0.2 MG/ML Injectable Solution
19019271,197,Naproxen 375 MG Oral Tablet
40160985,196,24 HR quetiapine 50 MG Extended Release Oral Tablet
19098477,195,aripiprazole 10 MG Oral Tablet [Abilify]
957136,195,Furosemide 40 MG Oral Tablet
766842,194,quetiapine 200 MG Oral Tablet
19071700,194,Insulin Glargine 100 UNT/ML Injectable Solution [Lantus]
19126665,191,Sodium Chloride 0.111 MEQ/ML Nasal Spray
19077654,191,Glucose 5000 MG Chewable Tablet
19021041,190,Doxycycline 100 MG Oral Capsule
19041255,190,Acetaminophen 650 MG Rectal Suppository [Acephen]
40241504,190,Dexamethasone phosphate 4 MG/ML Injectable Solution
1742256,190,Levofloxacin 5 MG/ML Injectable Solution
19036366,190,Calcium Carbonate 1500 MG / Cholecalciferol 400 UNT Oral Tablet
1326196,189,Oxytocin 0.06 UNT/ML Injectable Solution
45776408,189,Lidocaine 0.05 MG/MG Topical Ointment
40164897,189,Metformin hydrochloride 1000 MG Oral Tablet
19075601,187,clopidogrel 75 MG Oral Tablet
19078559,187,Insulin Glargine 100 UNT/ML Injectable Solution
19132783,185,Calcium Carbonate 1250 MG / Cholecalciferol 200 UNT Oral Tablet
19028313,184,Ceftriaxone 350 MG/ML Injectable Solution
40166320,183,Methadone Hydrochloride 10 MG Oral Tablet
1136682,183,benzonatate 100 MG Oral Capsule
19077549,183,gabapentin 400 MG Oral Capsule
40179684,183,Chlorpromazine hydrochloride 25 MG/ML Injectable Solution
40173099,183,Hydromorphone Hydrochloride 2 MG Oral Tablet [Dilaudid]
19127213,182,10 ML Sodium Chloride 9 MG/ML Prefilled Syringe
1707348,182,Metronidazole 5 MG/ML Injectable Solution
40237529,181,24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet
19076374,181,Diazepam 5 MG/ML Injectable Solution
42707671,181,Benzocaine 15 MG / Menthol 3.6 MG Oral Lozenge [Cepacol Sore Throat Pain Relief]
743793,181,24 HR venlafaxine 75 MG Extended Release Oral Capsule [Effexor]
1717708,181,valacyclovir 500 MG Oral Tablet
1545959,181,atorvastatin 80 MG Oral Tablet
19099840,179,Benzocaine 200 MG/ML Topical Spray
742303,176,topiramate 25 MG Oral Tablet
19027493,176,Famotidine 10 MG/ML Injectable Solution
19078557,174,"Regular Insulin, Human 100 UNT/ML Injectable Solution [Humulin R]"
19102213,173,aripiprazole 5 MG Oral Tablet
1754996,173,Fluconazole 150 MG Oral Tablet
19019003,172,Fluconazole 200 MG Oral Tablet
1396154,171,ferrous sulfate 300 MG Oral Tablet
19133280,170,Cyclobenzaprine hydrochloride 5 MG Oral Tablet
920332,170,Nitrofurantoin 100 MG Oral Capsule
40179642,170,Chlorpromazine hydrochloride 100 MG Oral Tablet
40222688,170,Hydroxyzine Hydrochloride 50 MG Oral Tablet
19049334,169,Potassium Chloride 0.2 MEQ/ML Injectable Solution
40169902,169,Morphine Sulfate 10 MG/ML Injectable Solution
40237530,168,24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet [Depakote]
1115067,167,Naproxen 500 MG Delayed Release Oral Tablet
40226998,165,Lidocaine Hydrochloride 0.05 MG/MG Transdermal Patch
19072934,165,Alprazolam 0.5 MG Oral Tablet
19019308,165,24 HR Nicotine 0.292 MG/HR Transdermal Patch
1545996,164,atorvastatin 40 MG Oral Tablet
19073778,164,Azithromycin 100 MG/ML Injectable Solution
715300,162,duloxetine 60 MG Delayed Release Oral Capsule
19036517,162,Propofol 10 MG/ML Injectable Suspension [Diprivan]
19049340,161,Potassium Chloride 0.4 MEQ/ML Injectable Solution
1150351,161,meloxicam 7.5 MG Oral Tablet
40222796,161,Meclizine Hydrochloride 25 MG Oral Tablet
715966,161,Escitalopram 20 MG Oral Tablet [Lexapro]
40175291,161,POLYETHYLENE GLYCOL 3350 59 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution [Golytely]
40169761,161,Levofloxacin 25 MG/ML Injectable Solution
19072933,159,Alprazolam 0.25 MG Oral Tablet
736019,158,Risperidone 0.5 MG Oral Tablet [Risperdal]
40232217,158,Pseudoephedrine Hydrochloride 30 MG Oral Tablet
40163555,158,Warfarin Sodium 5 MG Oral Tablet [Coumadin]
40232454,157,Diphenhydramine Hydrochloride 50 MG/ML Injectable Solution
19123351,157,Glucose 50 MG/ML / Potassium Chloride 0.02 MEQ/ML / Sodium Chloride 0.0769 MEQ/ML Injectable Solution
19049684,155,Potassium Chloride 10 MEQ Extended Release Oral Tablet
725180,155,Mirtazapine 30 MG Oral Tablet
1545997,154,atorvastatin 10 MG Oral Tablet
40221874,154,24 HR Bupropion Hydrochloride 300 MG Extended Release Oral Tablet
19102189,153,Omeprazole 20 MG Delayed Release Oral Tablet
19079119,152,Nystatin 100000 UNT/ML Oral Suspension
1551192,152,Prednisone 5 MG Oral Tablet
19018909,151,Diazepam 2 MG Oral Tablet
19078130,151,Sodium polystyrene sulfonate 250 MG/ML Oral Suspension [Kionex]
42800464,151,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vacci"
715298,151,duloxetine 30 MG Delayed Release Oral Capsule [Cymbalta]
1560751,151,50 ML Glucose 500 MG/ML Prefilled Syringe
19078558,150,"Insulin, Aspart, Human 100 UNT/ML Injectable Solution"
1589573,150,Levonorgestrel 1.5 MG Oral Tablet
19131111,150,60 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]
1790982,148,chlorhexidine gluconate 1.2 MG/ML Mouthwash
757690,148,aripiprazole 10 MG Oral Tablet
19121909,148,Glycerin 2100 MG Rectal Suppository
755739,146,Fluoxetine 40 MG Oral Capsule
1154192,146,montelukast 10 MG Oral Tablet [Singulair]
1738542,145,Doxycycline 100 MG Oral Tablet
905237,145,mometasone furoate 0.05 MG/ACTUAT Nasal Spray
40162311,143,Diclofenac Sodium 0.01 MG/MG Topical Gel
40232754,141,Oxycodone Hydrochloride 5 MG Oral Capsule
997899,141,Clindamycin 300 MG Oral Capsule
40228214,141,cetirizine hydrochloride 10 MG Oral Tablet
19123593,141,atorvastatin 40 MG Oral Tablet [Lipitor]
1734134,140,Azithromycin 500 MG Oral Tablet
40166828,139,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet
45776083,139,"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.03 MG/ML / Influenza B virus vaccine,"
19073215,139,Ampicillin 250 MG/ML / Sulbactam 125 MG/ML Injectable Solution
40173081,138,Hydromorphone Hydrochloride 10 MG/ML Injectable Solution
19093967,138,100 ML Magnesium Sulfate 10 MG/ML Injection
19079462,138,Risperidone 1 MG Oral Tablet
1703093,137,emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG Oral Tablet
19029479,137,Fluoxetine 10 MG Oral Capsule [Prozac]
40185304,137,Losartan Potassium 50 MG Oral Tablet
40232435,137,Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution
766851,136,quetiapine 400 MG Oral Tablet [Seroquel]
19006208,135,lamotrigine 25 MG Oral Tablet [Lamictal]
904827,135,ammonium lactate 120 MG/ML Topical Lotion
19128380,135,olanzapine 5 MG Disintegrating Oral Tablet [Zyprexa]
1150347,135,meloxicam 15 MG Oral Tablet
19047064,134,olanzapine 2.5 MG Oral Tablet [Zyprexa]
722067,134,Paroxetine 10 MG Oral Tablet
40169221,133,120 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler [Flonase]
19028193,133,Isopropyl Alcohol 0.7 ML/ML Medicated Pad
19079154,132,olanzapine 5 MG Oral Tablet
40166830,132,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet
1717707,131,valacyclovir 1000 MG Oral Tablet
19082706,128,"Sodium Phosphate, Dibasic 142 MG/ML / Sodium Phosphate, Monobasic 276 MG/ML Injectable Solution"
766821,127,quetiapine 300 MG Oral Tablet
19019050,127,Ibuprofen 20 MG/ML Oral Suspension
1799140,126,Oseltamivir 75 MG Oral Capsule [Tamiflu]
781062,125,Alprazolam 1 MG Oral Tablet
40169929,124,Morphine Sulfate 15 MG Oral Tablet
40225159,124,Oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray
19069200,123,Ascorbic Acid 500 MG Oral Tablet
1154109,122,Fentanyl 0.02 MG/ML Injectable Solution
19027663,122,potassium phosphate 3 MMOL/ML Injectable Solution
19072176,122,Acetaminophen 32 MG/ML Oral Solution
19122148,121,duloxetine 30 MG Delayed Release Oral Capsule
19137329,121,Thiamine 100 MG/ML Injectable Solution
1308221,121,Lisinopril 40 MG Oral Tablet
40167196,121,5 ML Metoprolol Tartrate 1 MG/ML Injection
40222092,120,Bupropion Hydrochloride 75 MG Oral Tablet
40168884,120,benztropine mesylate 0.5 MG Oral Tablet
40166541,120,Tamsulosin hydrochloride 0.4 MG Oral Capsule [Flomax]
19123592,120,atorvastatin 20 MG Oral Tablet
40163464,119,Trazodone Hydrochloride 150 MG Oral Tablet
40235770,119,Petrolatum 0.44 MG/MG Topical Ointment [DermaPhor]
1545998,119,atorvastatin 10 MG Oral Tablet [Lipitor]
19080040,118,Haloperidol 2 MG Oral Tablet
743795,117,24 HR venlafaxine 37.5 MG Extended Release Oral Capsule [Effexor]
19079658,117,Spironolactone 25 MG Oral Tablet
40166540,117,Tamsulosin hydrochloride 0.4 MG Oral Capsule
19079171,117,Ondansetron 8 MG Oral Tablet
19074977,116,Ceftriaxone 250 MG Injection
711586,116,Levetiracetam 500 MG Oral Tablet [Keppra]
1350521,116,Prazosin 1 MG Oral Capsule
19078344,116,Hydrocortisone 25 MG/ML Topical Cream
19031629,115,lansoprazole 30 MG Delayed Release Oral Capsule [Prevacid]
1134771,115,Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet
715294,115,duloxetine 20 MG Delayed Release Oral Capsule
19075953,114,Vitamin B 12 1 MG Oral Tablet
19008723,114,Mupirocin 0.02 MG/MG Topical Ointment
40221860,114,12 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet [Budeprion]
19069199,114,lamotrigine 25 MG Oral Tablet
40169230,114,120 ACTUAT Fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler
43526147,114,Dexmedetomidine 0.004 MG/ML Injectable Solution [Precedex]
42708391,113,Docusate Sodium 4 MG/ML Oral Solution
715235,113,Baclofen 10 MG Oral Tablet
1836433,112,Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet
715301,111,duloxetine 60 MG Delayed Release Oral Capsule [Cymbalta]
19073094,110,Amlodipine 2.5 MG Oral Tablet
1754995,110,Fluconazole 100 MG Oral Tablet
40222060,110,Bupropion Hydrochloride 100 MG Oral Tablet
40162717,109,Amitriptyline Hydrochloride 25 MG Oral Tablet
743721,108,24 HR venlafaxine 75 MG Extended Release Oral Capsule
736053,107,Risperidone 2 MG Oral Tablet
40163504,107,Zolpidem tartrate 6.25 MG Extended Release Oral Tablet
19026511,107,Hydrocortisone 0.01 MG/MG Topical Ointment
19122432,106,"sennosides, USP 17.2 MG Oral Tablet"
19006207,106,lamotrigine 100 MG Oral Tablet [Lamictal]
785821,105,olanzapine 10 MG Oral Tablet
40173132,105,Hydromorphone Hydrochloride 4 MG Oral Tablet [Dilaudid]
19034804,105,Methylprednisolone 40 MG Injection [A-MethaPred]
19077462,104,Fluoxetine 10 MG Oral Capsule
19098478,103,aripiprazole 15 MG Oral Tablet [Abilify]
19019339,103,Norethindrone 0.35 MG Oral Tablet
1742284,102,Levofloxacin 750 MG Oral Tablet
40179703,102,Chlorpromazine hydrochloride 50 MG Oral Tablet
19112761,102,tiotropium 0.018 MG Inhalant Powder
40161137,102,Cefazolin 40 MG/ML Injectable Solution
