name,uri,score
SGLT2,ncbigene:6524,11
GLP-1,ncbigene:2740,10
CAPN10,ncbigene:11132,10
GLP-1,ncbigene:24952,10
hepcidin,ncbigene:57817,10
IL-13,ncbigene:3596,10
GSK3b,ncbigene:2932,10
STAT4,ncbigene:6775,10
fetuin-A,ncbigene:197,10
PLTP,ncbigene:5360,10
UMOD,ncbigene:7369,10
PDI,ncbigene:29943,10
AMPK,ncbigene:5563,10
gastrin,ncbigene:2520,10
ATF3,ncbigene:25389,10
IL-6,ncbigene:3569,10
CDKAL1,ncbigene:54901,10
PON1,ncbigene:5444,10
TLR8,ncbigene:51311,10
GCKR,ncbigene:2646,10
vaspin,ncbigene:145264,10
IRS,ncbigene:3376,10
IGF-I,ncbigene:24482,10
PTP1B,ncbigene:5770,10
vWF,ncbigene:7450,10
adrenomedullin,ncbigene:133,10
APOE,ncbigene:348,10
cholinesterase,ncbigene:590,10
glucose-6-phosphatase,ncbigene:2538,10
HHEX,ncbigene:3087,10
FTO,ncbigene:79068,10
PTGES2,ncbigene:80142,10
DBI,ncbigene:1622,10
FOXA2,ncbigene:3170,10
IRS-2,ncbigene:8660,10
KCNQ1,ncbigene:16535,10
MCP-1,ncbigene:6347,10
CB1,ncbigene:1268,10
ceruloplasmin,ncbigene:1356,10
HSD11B1,ncbigene:3290,10
KCNJ11,ncbigene:3767,10
CETP,ncbigene:1071,10
CYP2E1,ncbigene:1571,10
mitoNEET,ncbigene:55847,10
PTEN,ncbigene:5728,10
L-selectin,ncbigene:6402,10
GH,ncbigene:2688,10
ENPP1,ncbigene:5167,9
PKM2,ncbigene:18746,9
NF-kappaB,ncbigene:4790,9
PPARdelta,ncbigene:5467,9
amylin,ncbigene:24476,9
cystatin C,ncbigene:1471,9
angiotensin II,ncbigene:183,9
p300,ncbigene:2033,9
HNF1B,ncbigene:6928,9
MTNR1B,ncbigene:4544,9
SBP,ncbigene:8991,9
catalase,ncbigene:847,9
HFE,ncbigene:3077,9
UCP2,ncbigene:7351,9
PP,ncbigene:5539,9
min-1,ncbigene:966,9
CX3CL1,ncbigene:6376,9
S100A12,ncbigene:6283,9
HK2,ncbigene:3099,9
PPARgamma,ncbigene:19016,9
SLC30A8,ncbigene:169026,9
renin,ncbigene:5972,9
NKG2D,ncbigene:22914,9
HSL,ncbigene:3991,9
SOX2,ncbigene:6657,9
MIF,ncbigene:17319,9
GGT,ncbigene:728226,9
GLUT4,ncbigene:6517,9
TFF3,ncbigene:21786,9
IL-18,ncbigene:3606,9
SOD1,ncbigene:6647,9
TRB3,ncbigene:57761,9
WFS1,ncbigene:7466,9
alanine aminotransferase,ncbigene:2875,9
SFRP5,ncbigene:6425,9
MIF,ncbigene:4282,9
DR3,ncbigene:8718,9
SLC12A3,ncbigene:20497,9
MnSOD,ncbigene:6648,9
PLC,ncbigene:3339,9
sestrin 3,ncbigene:143686,9
osteocalcin,ncbigene:632,9
UBE2E2,ncbigene:7325,9
SSAO,ncbigene:314,9
apoM,ncbigene:55937,8
apoC-III,ncbigene:345,8
YKL-40,ncbigene:1116,8
HDL2,ncbigene:57338,8
ER,ncbigene:2099,8
TCF7L2,ncbigene:21416,8
MMP-2,ncbigene:4313,8
TRPM5,ncbigene:56843,8
GPR120,ncbigene:107221,8
mINDY,ncbigene:237831,8
IDE,ncbigene:15925,8
GYS1,ncbigene:2997,8
apelin,ncbigene:8862,8
HO-1,ncbigene:24451,8
CD163,ncbigene:9332,8
NEUROG3,ncbigene:50674,8
TRB3,ncbigene:228775,8
PCK1,ncbigene:5105,8
amylin,ncbigene:15874,8
RBP4,ncbigene:5950,8
SLC22A3,ncbigene:6581,8
KCNQ1,ncbigene:3784,8
SOCS2,ncbigene:8835,8
TfR,ncbigene:7037,8
THADA,ncbigene:63892,8
ERRa,ncbigene:2101,8
PTX3,ncbigene:5806,8
apoC-I,ncbigene:341,8
CIA,ncbigene:57727,8
pen,ncbigene:27344,8
GIP,ncbigene:25040,8
NLRP3,ncbigene:114548,8
VDR,ncbigene:7421,8
IDE,ncbigene:3416,8
PTHrP,ncbigene:5744,8
IL-10,ncbigene:3586,8
Cobl,ncbigene:23242,8
MMP-9,ncbigene:4318,8
FOXO1,ncbigene:2308,8
CDH13,ncbigene:1012,8
MYH9,ncbigene:4627,8
TNMD,ncbigene:64102,8
DMT1,ncbigene:24906,8
LPL,ncbigene:4023,8
ESAM,ncbigene:90952,8
DPP-4,ncbigene:25253,8
GHR,ncbigene:2690,8
galectin-3,ncbigene:3958,8
RRAD,ncbigene:6236,8
IL-1beta,ncbigene:3553,8
TLE3,ncbigene:21887,8
FOXA1,ncbigene:3169,8
PDH,ncbigene:54704,8
insulin,ncbigene:280829,8
TNF-alpha,ncbigene:21926,8
UCP1,ncbigene:7350,8
ALDH1,ncbigene:216,8
GSK-3b,ncbigene:84027,8
eNOS,ncbigene:18127,8
CHOP,ncbigene:1649,8
JAZF1,ncbigene:221895,8
MBL,ncbigene:4153,8
PGC-1a,ncbigene:19017,8
Sri,ncbigene:6717,8
DM2,ncbigene:28508,8
HIF-1a,ncbigene:3091,8
GAD,ncbigene:2571,8
IL-17,ncbigene:3605,8
GAD65,ncbigene:2572,8
SHIP2,ncbigene:16332,8
mitochondrial glycerophosphate dehydrogenase,ncbigene:2820,8
FXR,ncbigene:9971,8
PCSK9,ncbigene:255738,8
Gas6,ncbigene:2621,8
visfatin,ncbigene:10135,7
PUFA,ncbigene:9933,7
E-selectin,ncbigene:6401,7
miR-126,ncbigene:406913,7
IGFBP-3,ncbigene:3486,7
resistin,ncbigene:56729,7
IGFBP7,ncbigene:3490,7
POR,ncbigene:5447,7
DRD2,ncbigene:1813,7
periostin,ncbigene:10631,7
LDL-C,ncbigene:22796,7
Akt2,ncbigene:208,7
GLIS3,ncbigene:169792,7
SP-D,ncbigene:6441,7
c-Rel,ncbigene:5966,7
RAGE,ncbigene:177,7
SacI,ncbigene:55811,7
thrombomodulin,ncbigene:7056,7
miR-146a,ncbigene:406938,7
HSP70,ncbigene:3308,7
TIMP-3,ncbigene:7078,7
miR-155,ncbigene:406947,7
fibronectin,ncbigene:2335,7
erythropoietin,ncbigene:2056,7
ADRA2A,ncbigene:150,7
CYP2C8,ncbigene:1558,7
LKB1,ncbigene:6794,7
GRP78,ncbigene:3309,7
ANK1,ncbigene:286,7
hOGG1,ncbigene:4968,7
PKG,ncbigene:5592,7
CCR2,ncbigene:12772,7
GFAT,ncbigene:2673,7
CD4,ncbigene:12504,7
NAG,ncbigene:10724,7
HNF4a,ncbigene:15378,7
NHE,ncbigene:285335,7
HNF1a,ncbigene:21405,7
C1q,ncbigene:712,7
TAFI,ncbigene:1361,7
Rho-kinase,ncbigene:19878,7
CRH,ncbigene:1392,7
beta-thromboglobulin,ncbigene:5473,7
miR-375,ncbigene:494324,7
RAGE,ncbigene:101669765,7
ABCG1,ncbigene:11307,7
FABP4,ncbigene:2167,7
alpha 1-antitrypsin,ncbigene:5265,7
adenosine deaminase,ncbigene:100,7
Ca2,ncbigene:760,7
fibulin-1,ncbigene:2192,7
haptoglobin,ncbigene:3240,7
PAX4,ncbigene:5078,7
G-CSF,ncbigene:1440,7
MFG-E8,ncbigene:4240,7
APOA5,ncbigene:116519,7
ER1,ncbigene:57708,7
LMNA,ncbigene:4000,7
IFN-gamma,ncbigene:3458,7
CO2,ncbigene:717,7
TIMP-1,ncbigene:7076,7
P2X7 receptor,ncbigene:5027,7
FGF19,ncbigene:9965,7
CTR,ncbigene:799,7
KLF11,ncbigene:8462,6
PTPRS,ncbigene:5802,6
GPR40,ncbigene:2864,6
endostatin,ncbigene:80781,6
ELMO1,ncbigene:9844,6
fMLP,ncbigene:2357,6
Smad7,ncbigene:17131,6
tissue plasminogen activator,ncbigene:100128998,6
miR-182,ncbigene:406958,6
AQP7,ncbigene:364,6
Nurr1,ncbigene:4929,6
ANF,ncbigene:4878,6
LDHA,ncbigene:3939,6
TNFR1,ncbigene:7132,6
TACE,ncbigene:6868,6
NPY,ncbigene:4852,6
CaMKII,ncbigene:818,6
set 1,ncbigene:9739,6
KCNB1,ncbigene:3745,6
ANGPTL3,ncbigene:27329,6
MGP,ncbigene:4256,6
ATPase,ncbigene:1769,6
SHIP2,ncbigene:3636,6
LEPR,ncbigene:3953,6
hormone receptor,ncbigene:3164,6
IGF2BP2,ncbigene:10644,6
GPR119,ncbigene:302813,6
SLI,ncbigene:25759,6
miR-23a,ncbigene:407010,6
proton pump,ncbigene:479,6
HbA1,ncbigene:3039,6
PTP1B,ncbigene:19246,6
C-8,ncbigene:3224,6
ABCA1,ncbigene:19,6
TG2,ncbigene:21817,6
miR-100,ncbigene:406892,6
leptin,ncbigene:25608,6
PI3K,ncbigene:5295,6
NPC1,ncbigene:4864,6
HMGB1,ncbigene:3146,6
S100A9,ncbigene:6280,6
GLP-1,ncbigene:14526,6
angiotensin II,ncbigene:24179,6
ANGPTL8,ncbigene:55908,6
BNP,ncbigene:4879,6
EL,ncbigene:9388,6
Gcgr,ncbigene:14527,6
CD-1,ncbigene:111334,6
ND1,ncbigene:4535,6
Brix,ncbigene:55299,6
GLUT4,ncbigene:25139,6
TM6SF2,ncbigene:53345,6
GLP-1R,ncbigene:25051,6
NPY,ncbigene:24604,6
betatrophin,ncbigene:624219,6
chemerin,ncbigene:5919,6
ZNHIT3,ncbigene:9326,6
A20,ncbigene:28935,6
PEPCK,ncbigene:18534,6
PARP,ncbigene:142,6
hRad1,ncbigene:5810,6
AST,ncbigene:26503,6
IL-1ra,ncbigene:3557,6
eNOS,ncbigene:4846,5
tissue transglutaminase,ncbigene:7052,5
trehalase,ncbigene:11181,5
TRPC1,ncbigene:7220,5
PPAR,ncbigene:5465,5
BLK,ncbigene:640,5
GSD1b,ncbigene:2542,5
CHEK2,ncbigene:11200,5
Hsp90,ncbigene:3320,5
activin,ncbigene:83729,5
MICA,ncbigene:100507436,5
ACTH,ncbigene:5443,5
IL-6,ncbigene:16193,5
CTRP1,ncbigene:114897,5
IGFBP-1,ncbigene:3484,5
AICAR,ncbigene:471,5
IGF-II,ncbigene:3481,5
ARAP1,ncbigene:116985,5
MTHFR,ncbigene:4524,5
bFGF,ncbigene:2247,5
MsrA,ncbigene:4482,5
HGF,ncbigene:3082,5
sclerostin,ncbigene:50964,5
p22,ncbigene:11261,5
MUC5B,ncbigene:727897,5
TNF-alpha,ncbigene:24835,5
TPC2,ncbigene:219931,5
SOCS1,ncbigene:12703,5
IKKbeta,ncbigene:3551,5
USF1,ncbigene:7391,5
PARL,ncbigene:55486,5
DQA1,ncbigene:3117,5
TSP-1,ncbigene:7057,5
NAT2,ncbigene:10,5
SCD1,ncbigene:6319,5
LBP,ncbigene:3929,5
SERCA,ncbigene:489,5
hepatic lipase,ncbigene:3990,5
OPG,ncbigene:4982,5
p14,ncbigene:11102,5
H-FABP,ncbigene:2170,5
era,ncbigene:26284,5
MFN2,ncbigene:9927,5
LPIN1,ncbigene:23175,5
DACT1,ncbigene:59036,5
ADA2,ncbigene:6871,5
C3d,ncbigene:100861467,5
NCB5OR,ncbigene:51167,4
HNF-1beta,ncbigene:21410,4
CIMT,ncbigene:404677,4
frataxin,ncbigene:2395,4
Akt,ncbigene:24185,4
PEPCK,ncbigene:5106,4
clock,ncbigene:9575,4
O-GlcNAc,ncbigene:8473,4
PAI-1,ncbigene:18787,4
insulin,ncbigene:483665,4
dopamine D3 receptor,ncbigene:29238,4
apelin,ncbigene:58812,4
TRH,ncbigene:25569,4
TLR4,ncbigene:7099,4
GLP-1R,ncbigene:14652,4
CD8,ncbigene:925,4
MAP4K4,ncbigene:9448,4
March 1,ncbigene:55016,4
RCAN1,ncbigene:54720,4
CD69,ncbigene:969,4
DNMT1,ncbigene:1786,4
PC3,ncbigene:5122,4
HMG-CoA reductase,ncbigene:3156,4
ROR,ncbigene:100885779,4
PTH,ncbigene:5741,4
vigilin,ncbigene:3069,4
GSK3b,ncbigene:56637,4
IA-2,ncbigene:5798,4
caveolin-1,ncbigene:12389,4
insulin,ncbigene:100009181,4
insulin,ncbigene:42549,4
TPMT,ncbigene:7172,4
GIRK1,ncbigene:3760,3
Bid,ncbigene:637,3
adiponectin,ncbigene:246253,3
SIRT1,ncbigene:23411,3
Grb10,ncbigene:2887,3
G-CSF,ncbigene:25610,3
CPE,ncbigene:1363,3
MC4R,ncbigene:4160,3
CDK4,ncbigene:12567,3
APO,ncbigene:84909,3
ALDH2,ncbigene:217,3
HNF4a,ncbigene:25735,3
glutamine synthetase,ncbigene:2752,3
TLL,ncbigene:7092,3
COX-1,ncbigene:17708,3
ACC2,ncbigene:32,3
P-Rex1,ncbigene:57580,3
Smad7,ncbigene:4092,3
PKD1,ncbigene:5310,3
CA5,ncbigene:763,3
cathepsin A,ncbigene:296370,3
cholesterol esterase,ncbigene:1056,3
TRPM2,ncbigene:7226,3
SORL1,ncbigene:6653,3
GIP,ncbigene:100753817,3
cytochrome b,ncbigene:4519,3
AMPK,ncbigene:5562,3
GLP-I,ncbigene:171528,3
G6PD,ncbigene:14380,3
dipeptidyl peptidase IV,ncbigene:397492,3
CD4,ncbigene:920,3
AKR1B10,ncbigene:57016,3
organic cation transporter 3,ncbigene:100049579,3
GPR120,ncbigene:338557,3
DIO2,ncbigene:1734,3
AdipoR2,ncbigene:79602,3
prolactin,ncbigene:5617,3
ACP1,ncbigene:52,3
HLA-DM,ncbigene:3108,3
CYP11B2,ncbigene:1585,3
ACE,ncbigene:24310,3
Src,ncbigene:6714,3
PDE5,ncbigene:242202,3
MEK,ncbigene:17242,3
KLF14,ncbigene:136259,3
IRS-1,ncbigene:16367,3
IL28B,ncbigene:282617,3
HT1080,ncbigene:8872,3
ADAMTS9,ncbigene:56999,3
Tcf7l2,ncbigene:30510,2
NOS1AP,ncbigene:9722,2
HSP72,ncbigene:3303,2
CD11b,ncbigene:3684,2
PPARgamma,ncbigene:25664,2
MLC,ncbigene:23209,2
leptin,ncbigene:373955,2
DISC1,ncbigene:27185,2
UCP2,ncbigene:22228,2
T-bet,ncbigene:30009,2
STAT3,ncbigene:6774,2
IRS-1,ncbigene:25467,2
HLA-A,ncbigene:3105,2
glucose oxidase,ncbigene:54363,2
I-FABP,ncbigene:2169,2
thrombin,ncbigene:2147,2
somatostatin,ncbigene:6750,2
MMP-3,ncbigene:4314,2
mitoNEET,ncbigene:52637,2
insulin receptor,ncbigene:16337,2
HNF1,ncbigene:24817,2
G6PC2,ncbigene:57818,2
ATF3,ncbigene:467,2
ZnT8,ncbigene:239436,2
miR-21,ncbigene:406991,2
miR-146a,ncbigene:387164,2
IR,ncbigene:706009,2
GLUT2,ncbigene:20526,2
glucokinase,ncbigene:24385,2
gastrin,ncbigene:14459,2
FPGS,ncbigene:2356,2
FasL,ncbigene:356,2
DPP-4,ncbigene:13482,2
CXCL5,ncbigene:6374,2
AdipoR2,ncbigene:312670,2
PC2,ncbigene:5126,1
mTOR,ncbigene:100860902,1
MCP-1,ncbigene:100360872,1
GIRK2,ncbigene:3763,1
AES,ncbigene:166,1
G6PD,ncbigene:2539,1
Foxa2,ncbigene:15376,1
FGF21,ncbigene:170580,1
CRP,ncbigene:25419,1
C/EBPbeta,ncbigene:1051,1
CD40,ncbigene:958,1
AT1,ncbigene:185,1
serum albumin,ncbigene:213,1
ADRB2,ncbigene:154,1
WNT5B,ncbigene:81029,0
TFPI,ncbigene:7035,0
renalase,ncbigene:55328,0
PROX1,ncbigene:5629,0
Rg1,ncbigene:5506,0
PPARgamma,ncbigene:281993,0
IGFBP-3,ncbigene:24484,0
perilipin,ncbigene:5346,0
PAPP-A,ncbigene:5069,0
NO3,ncbigene:4681,0
miR-375,ncbigene:723900,0
miR-26a,ncbigene:387218,0
GPDH,ncbigene:14571,0
LXRa,ncbigene:10062,0
lingual lipase,ncbigene:50682,0
CD44,ncbigene:960,0
guanylin,ncbigene:2980,0
glucokinase,ncbigene:103988,0
GPR40,ncbigene:233081,0
FADS1,ncbigene:3992,0
EIF4A2,ncbigene:303831,0
EGF,ncbigene:1950,0
CDKN3,ncbigene:1033,0
citrate synthase,ncbigene:1431,0
CHIT1,ncbigene:1118,0
CCR5,ncbigene:1234,0
CD38,ncbigene:952,0
ATF3,ncbigene:11910,0
C2CD4B,ncbigene:388125,0
Ang II,ncbigene:11606,0
ADCY5,ncbigene:111,0
