property	count
H2_receptor_antagonist	7
chitin_synthesis_inhibitor	15
vitamin_D_receptor_agonist	5
tetrazine_acaricide	1
neuroprotective_agent	133
teratogenic_agent	47
provitamin_A	6
iron_chelator	73
progesterone_receptor_agonist	3
B_Raf_inhibitor	7
EC_6.2.1.*_(acid_thiol_ligase)_inhibitor	1
biomarker	66
ionophore	78
inhalation_anaesthetic	15
calcium_channel_modulator	68
coccidiostat	6
farnesoid_X_receptor_agonist	1
prostaglandin_antagonist	6
eukaryotic_initiation_factor_4F_inhibitor	1
neurotransmitter_transporter_modulator	1
appetite_depressant	16
protease_inhibitor	115
enzyme_reactivator	4
antifungal_drug	109
vasopressin_receptor_antagonist	2
EC_3.2.*_(glycosylase)_inhibitor	79
pro_agent	213
apoptosis_inducer	202
radical_scavenger	125
biochemical_role	22692
xenoantigen	2
quinol_oxidation_site_inhibitor	2
EC_1.10.2.2_(quinol__cytochrome_c_reductase)_inhibitor	1
phytoalexin	33
quinone_outside_inhibitor	5
EC_1.13.11.11_(tryptophan_2_3_dioxygenase)_inhibitor	1
phosphoantigen	13
protic_solvent	34
antidepressant	115
HIV_1_maturation_inhibitor	1
EC_3.2.1.1_(alpha_amylase)_inhibitor	8
EC_2.1.1.*_(methyltransferases)_inhibitor	17
cardiovascular_drug	416
estrogen_receptor_antagonist	6
persistent_organic_pollutant	99
CFTR_potentiator	4
keratolytic_drug	15
protein_denaturant	2
plant_hormone	153
EC_2.7.11.*_(protein_serine/threonine_kinase)_inhibitor	133
insect_sterilant	7
hepatitis_C_protease_inhibitor	13
vesicular_glutamate_transport_inhibitor	1
eukaryotic_metabolite	11711
EC_2.4.1.231_[alpha_alpha_trehalose_phosphorylase_(configuration_retaining)]_inhibitor	2
tranquilizing_drug	135
EC_2.5.1.19_(3_phosphoshikimate_1_carboxyvinyltransferase)_inhibitor	1
EC_2.3.1.50_(serine_C_palmitoyltransferase)_inhibitor	5
EC_2.7.11.18_(myosin_light_chain_kinase)_inhibitor	4
water_soluble_vitamin	56
cross_linking_reagent	12
EC_1.5.1.*_(oxidoreductase_acting_on_donor_CH_NH_group__NAD(+)_or_NADP(+)_as_acceptor)_inhibitor	18
potassium_channel_blocker	19
EC_5.99.1.*_(miscellaneous_isomerase)_inhibitor	71
H3_receptor_antagonist	4
EC_2.3.2.2_(gamma_glutamyltransferase)_inhibitor	1
carotogenesis_inhibitor	1
EC_1.14.18.1_(tyrosinase)_inhibitor	32
SMO_receptor_agonist	4
ergosterol_biosynthesis_inhibitor	84
EC_4.1.2.*_(aldehyde_lyase)_inhibitor	1
biological_pigment	45
EC_6.3.1.*_(acid_ammonia/amine_ligase)_inhibitor	6
EC_3.2.1.*_(glycosidase)_inhibitor	79
hyperglycemic_agent	1
cosmetic	12
neuropeptide_Y_receptor_antagonist	2
GABA_modulator	201
T_cell_proliferation_inhibitor	1
purinergic_receptor_P2X_antagonist	2
neonicotinoid_insectide	16
EC_2.7.*_(P_containing_group_transferase)_inhibitor	368
insect_growth_regulator	40
carotenoid_biosynthesis_inhibitor	24
Wnt_signalling_activator	2
ATP_synthase_inhibitor	10
EC_1.15.1.1_(superoxide_dismutase)_inhibitor	2
EC_3.1.27.3_(ribonuclease_T1)_inhibitor	1
bile_acid_metabolite	35
EC_3.4.21.4_(trypsin)_inhibitor	3
EC_1.2.3.*_(oxidoreductase_acting_on_donor_aldehyde/oxo_group_with_oxygen_as_acceptor)_inhibitor	5
equivalent_identifiers	355412
food_humectant	5
calcium_channel_blocker	46
protein_synthesis_inhibitor	40
EC_3.4.24.11_(neprilysin)_inhibitor	1
EC_5.1.*_(racemase/epimerase)_inhibitor	1
EC_3.4.24.24_(gelatinase_A)_inhibitor	4
pyrethroid_ester_acaricide	19
antimanic_drug	7
bridged_diphenyl_acaricide	2
EC_3.5.1.88_(peptide_deformylase)_inhibitor	1
EC_1.3.99.*_(oxidoreductase_acting_on_donor_CH_CH_group__with_other_acceptors)_inhibitor	1
humectant	5
fundamental_metabolite	370
SMO_receptor_antagonist	3
EC_1.13.*_[oxidoreductase_acting_on_single_donors_with_incorporation_of_molecular_oxygen_(oxygenases)]_inhibitor	74
PPARalpha_agonist	14
histamine_releasing_agent	1
herbicide	241
nodulation_factor	1
EC_3.5.5.1_(nitrilase)_inhhibitor	2
epidermal_growth_factor_receptor_antagonist	14
neurotransmitter	38
EC_1.14.13.97_(taurochenodeoxycholate_6alpha_hydroxylase)_inhibitor	1
capsaicin_receptor_agonist	1
gut_flora_metabolite	4
EC_2.1.1.37_[DNA_(cytosine_5_)_methyltransferase]_inhibitor	1
EC_4.1.1.19_(arginine_decarboxylase)_inhibitor	2
animal_growth_promotant	7
antiinfective_agent	916
monolignol	3
acaricide	168
EC_3.2.1.45_(glucosylceramidase)_inhibitor	2
EC_3.5.1.99_(fatty_acid_amide_hydrolase)_inhibitor	4
EC_2.3.1.24_(sphingosine_N_acyltransferase)_inhibitor	1
EC_6.3.5.3_(phosphoribosylformylglycinamidine_synthase)_inhibitor	1
adrenergic_agent	251
schistosomicide_drug	10
antifouling_biocide	8
glucocorticoid_receptor_agonist	4
EC_2.7.11.13_(protein_kinase_C)_inhibitor	19
carbamate_insecticide	23
G_protein_coupled_receptor_agonist	4
cellulose_synthesis_inhibitor	6
EC_3.4.22.*_(cysteine_endopeptidase)_inhibitor	30
Brassica_napus_metabolite	38
EC_4.2.1.94_(scytalone_dehydratase)_inhibitor	2
angiogenesis_inducing_agent	1
jasmonates	27
fertilizer	22
EC_1.4.1.*_(oxidoreductase_acting_on_donor_CH_NH2_group;_NAD(+)_or_NADP(+)_as_acceptor)_inhibitor	1
opioid_receptor_agonist	41
EC_3.4.21.92_(endopeptidase_Clp)_inhibitor	2
mass	97320
Sir1_inhibitor	2
EC_3.5.4.4_(adenosine_deaminase)_inhibitor	7
EC_1.6.3.1._[NAD(P)H_oxidase_(H2O2_forming)]_inhibitor	2
chromogenic_compound	105
estrogen_antagonist	7
EC_4.3.1.24_(phenylalanine_ammonia_lyase)_inhibitor	1
antibacterial_agent	690
insect_attractant	12
sterol_biosynthesis_inhibitor	104
EC_4.6.1.1_(adenylate_cyclase)_inhibitor	2
propellant	7
EC_4.4.*_(C_S_lyase)_inhibitor	6
EC_3.4.22.38_(cathepsin_K)_inhibitor	2
neoglycolipid_probe	3
EC_3.6.3.14_(H(+)_transporting_two_sector_ATPase)_inhibitor	2
EC_4.1.2.27_(sphinganine_1_phosphate_aldolase)_inhibitor	1
EC_3.4.24.71_(endothelin_converting_enzyme_1)_inhibitor	1
dopaminergic_antagonist	62
uricosuric_drug	5
micronutrient	197
allelochemical	55
delta_opioid_agent	13
elastin_laminin_receptor_agonist	2
uremic_toxin	9
progestin	19
anti_asthmatic_agent	59
EC_1.10.99.*_(oxidoreductases_acting_on_diphenols_and_related_substances_as_donors__other_acceptors)_inhibitor	2
collagen_cross_linking_inhibitor	2
EC_2.7.1.*_(phosphotransferases_with_an_alcohol_group_as_acceptor)_inhibitor	44
analgesic	227
pheromone	38
archaeal_metabolite	15
EC_1.14.13.*_(oxidoreductase_acting_on_paired_donors__incorporating_1_atom_of_oxygen__with_NADH_or_NADPH_as_one_donor)_inhibitor	129
EC_1.5.*_(oxidoreductase_acting_on_donor_CH_NH_group)_inhibitor	18
Bronsted_acid	8617
methionine_aminopeptidase_2_inhibitor	2
immunomodulator	107
glycerophosphoinositol_synthesis_inhibitor	2
EC_3.*_(hydrolase)_inhibitor	814
fluorescent_probe	28
bradykinin_receptor_antagonist	3
EC_3.1.4.11_(phosphoinositide_phospholipase_C)_inhibitor	4
cholinesterase_reactivator	4
hydrogen_acceptor	4
entity	13726
EC_3.4.21.39_(chymase)_inhibitor	2
hydrogen_donor	3
EC_1.14.13.67_(quinine_3_monooxygenase)_inhibitor	1
adenosine_phosphodiesterase_inhibitor	1
cardioprotective_agent	94
prostaglandin_receptor_agonist	5
Arabidopsis_thaliana_metabolite	33
antitussive	30
AMPA_receptor_antagonist	2
HIV_1_reverse_transcriptase_inhibitor	43
MRI_contrast_agent	14
defoliant	6
EC_2.2.*_(aldehyde_or_ketone_transferase)_inhibitor	18
UDP_glucuronosyltransferase_activator	1
acid	8630
EC_4.1.1.17_(ornithine_decarboxylase)_inhibitor	2
Aurora_kinase_inhibitor	5
food_anticaking_agent	4
drug	5527
adenosine_receptor_agonist	5
EC_3.1.4.*_(phosphoric_diester_hydrolase)_inhibitor	41
EC_1.11.*_(oxidoreductase_acting_on_peroxide_as_donors)_inhibitor	7
charge	98675
nasal_decongestant	9
fat_soluble_vitamin	67
neuropeptide_Y2_receptor_agonist	1
protective_agent	341
EC_3.4.23.*_(aspartic_endopeptidase)_inhibitor	11
poison	330
EC_1.10.2.*_(oxidoreductase_acting_on_diphenols_and_related_substances_as_donors_with_a_cytochrome_as_acceptor)_inhibitor	1
greenhouse_gas	15
abortifacient	10
antitreponemal_drug	3
estrogen	69
antispasmodic_drug	27
peripheral_nervous_system_drug	27
EC_1.1.1.267_(1_deoxy_D_xylulose_5_phosphate_reductoisomerase)_inhibitor	1
opioid_agent	48
cytochrome_b6f_complex_inhibitor	1
antacid	13
EC_2.5.1.1_(dimethylallyltranstransferase)_inhibitor	2
cholinergic_drug	200
ultrasound_contrast_agent	3
EC_2.1.1.72_[site_specific_DNA_methyltransferase_(adenine_specific)]_inhibitor	2
glucagon_receptor_antagonist	1
autophagy_inducer	1
depigmentation_drug	25
histological_dye	178
bacterial_xenobiotic_metabolite	121
EC_1.10.3.2_(laccase)_inhibitor	1
adrenergic_antagonist	121
topoisomerase_IV_inhibitor	15
histamine_antagonist	128
purinergic_receptor_P2_antagonist	10
mordant	4
TRP_channel_blocker	3
immunogen	3
carboxylic_acid_protecting_group	2
EC_3.4.21.1_(chymotrypsin)_inhibitor	13
EC_2.4.1.16_(chitin_synthase)_inhibitor	7
EC_3.4.*_(hydrolases_acting_on_peptide_bond)_inhibitor	250
antiparkinson_drug	55
juvenile_hormone_antagonists	4
affinity_label	2
pesticide	1105
EC_3.5.1.98_(histone_deacetylase)_inhibitor	40
EC_2.7.8.15_(UDP_N_acetylglucosamine__dolichyl_phosphate_N_acetylglucosaminephosphotransferase)_inhibitor	1
hallucinogen	14
cardiotoxic_agent	6
EC_5.3.3.5_(cholestenol_Delta_isomerase)_inhibitor	8
EC_2.7.1.151_(inositol_polyphosphate_multikinase)_inhibitor	1
TRPV4_agonist	2
interferon_inducer	1
agrochemical	540
alpha_adrenergic_drug	71
Hsp70_inducer	2
mite_growth_regulator	8
Streptococcus_pneumoniae_metabolite	1
EC_1.1.1.189_(prostaglandin_E2_9_reductase)_inhibitor	3
adenosine_A1_receptor_antagonist	5
xenobiotic	613
receptor_modulator	352
nephroprotective_agent	16
endocrine_disruptor	226
EC_2.7.12.2_(mitogen_activated_protein_kinase_kinase)_inhibitor	2
Smad3_inhibitor	2
EC_2.4.2.8_(hypoxanthine_phosphoribosyltransferase)_inhibitor	1
axin_stabilizer	2
alpha_adrenergic_agonist	29
fluorogen	1
EC_1.11.2.*_(oxidoreductase_with_H2O2_as_acceptor__incorporating_1_O_atom_into_product)_inhibitor	2
EC_2.5.1.15_(dihydropteroate_synthase)_inhibitor	11
EC_1.17.4.1_(ribonucleoside_diphosphate_reductase)_inhibitor	4
spectrophotometric_reagent	1
serine_proteinase_inhibitor	6
cathepsin_B_inhibitor	10
angiogenesis_modulating_agent	30
VEGF_activator	2
EC_3.1.1.*_(carboxylic_ester_hydrolase)_inhibitor	227
EC_2.5.1.49_(O_acetylhomoserine_aminocarboxypropyltransferase)_inhibitor	1
EC_1.14.*_(oxidoreductase_acting_on_paired_donors__with_incorporation_or_reduction_of_molecular_oxygen)_inhibitor	367
EC_1.6.5.2_[NAD(P)H_dehydrogenase_(quinone)]_inhibitor	9
EC_2.5.1.29_(geranylgeranyl_diphosphate_synthase)_inhibitor	1
EC_2.7.10.2_(non_specific_protein_tyrosine_kinase)_inhibitor	18
EC_2.1.1.122_[(S)_tetrahydroprotoberberine_N_methyltransferase]_inhibitor	2
electron_donor	16
food_bleaching_agent	1
oxidative_phosphorylation_inhibitor	4
prodrug	244820
autophagy_inhibitor	9
oxidized_luciferins	10
enzyme_mimic	1
antihypertensive_agent	196
MTP_inhibitor	2
antidyskinesia_agent	57
EC_6.4.*_(C_C_bond_forming_ligase)_inhibitor	25
fibroblast_growth_factor_receptor_antagonist	12
anti_HSV_agent	20
oxytocic	10
ethylene_releasers	3
actin_polymerisation_inhibitor	11
prostaglandin_receptor_antagonist	1
muscarinic_agonist	17
reaction_intermediate	1
amphiphile	9
EC_4.2.1.22_(cystathionine_beta_synthase)_inhibitor	3
Sir2_inhibitor	4
kairomone	47
EC_3.1.3.41_(4_nitrophenylphosphatase)_inhibitor	2
EC_2.7.7.7_(DNA_directed_DNA_polymerase)_inhibitor	15
EC_3.2.1.31_(beta_glucuronidase)_inhibitor	2
reproductive_control_drug	37
photosystem_I_inhibitor	1
anti_arrhythmia_drug	79
avicide	15
therapeutic_flag	244803
chiral_reagent	1
EC_4.2.1.3_(aconitate_hydratase)_inhibitor	1
steatosis_inducing_agent	2
EC_2.1.1.45_(thymidylate_synthase)_inhibitor	4
ryanodine_receptor_modulator	8
food_gelling_agent	3
molluscicide	10
probe	39
EC_3.6.1.3_(adenosinetriphosphatase)_inhibitor	1
osteogenesis_regulator	11
platelet_activating_factor_receptor_agonist	2
gap_junctional_intercellular_communication_inhibitor	1
EC_3.4.21.5_(thrombin)_inhibitor	12
neurokinin_1_receptor_antagonist	8
acceptor	7542
hypoxia_inducible_factor_pathway_activator	1
EC_3.1.4.35_(3'_5'_cyclic_GMP_phosphodiesterase)_inhibitor	4
EC_1.4.4.2_[glycine_dehydrogenase_(aminomethyl_transferring)]_inhibitor	1
anti_estrogen	12
rat_metabolite	153
fluorescent_dye	573
EC_1.1.1.205_(IMP_dehydrogenase)_inhibitor	5
EC_2.3.1.*_(acyltransferase_transferring_other_than_amino_acyl_group)_inhibitor	45
physical_tracer	1
EC_3.4.19.3_(pyroglutamyl_peptidase_I)_inhibitor	3
chelator	144
EC_6.3.4.2_[CTP_synthase_(glutamine_hydrolyzing)]_inhibitor	1
mu_opioid_agent	39
non_polar_solvent	22
antidote_to_cyanide_poisoning	5
matrix_metalloproteinase_inhibitor	11
antitrichomonal_drug	5
Hedgehog_signaling_pathway_inhibitor	6
fluorescence_quencher	1
toxin	214
EC_1.14.13.132_(squalene_monooxygenase)_inhibitor	7
H3_receptor_agonist	4
adenosine_A2A_receptor_agonist	2
mycotoxin	86
EC_3.4.14.2_(dipeptidyl_peptidase_II)_inhibitor	1
EC_2.1.1.116_[3'_hydroxy_N_methyl_(S)_coclaurine_4'_O_methyltransferase]_inhibitor	3
vitamin	126
liver_X_receptor_inverse_agonist	1
hepatitis_C_virus_nonstructural_protein_5A_inhibitor	3
macronutrient	16
tropomyosin_related_kinase_B_receptor_antagonist	2
alpha1B_adrenoceptor_antagonist	1
food_component	437
EC_2.7.1.33_(pantothenate_kinase)_inhibitor	9
auxin	28
EC_2.5.1.59_(protein_geranylgeranyltransferase_type_I)_inhibitor	6
PPARgamma_agonist	8
EC_2.5.1.46_(deoxyhypusine_synthase)_inhibitor	1
pesticide_synergist	3
nicotinic_acetylcholine_receptor_agonist	35
plant_growth_regulator	194
anti_anaemic_agent	3
iron(3+)_chelator	55
anti_HIV_1_agent	107
EC_3.5.2.6_(beta_lactamase)_inhibitor	12
serotonergic_agonist	62
tolerogen	1
antiprotozoal_drug	301
vasopressin_receptor_agonist	3
acyl_CoA:cholesterol_acyltransferase_2_inhibitor	7
oxidising_agent	24
lymphocyte_function_associated_antigen_1_antagonist	1
EC_1.8.5.*_(oxidoreductase_acting_on_sulfur_group_donors__quinone_or_similar_as_acceptor)_inhibitor	1
cardiotonic_drug	25
antipsoriatic	12
5_hydroxytryptamine_2A_receptor_inverse_agonist	2
breast_cancer_resistance_protein_inhibitor	5
EC_3.5.1.5_(urease)_inhibitor	7
EC_3.6.3.8_(Ca(2+)_transporting_ATPase)_inhibitor	9
nicotinic_antagonist	17
base	7531
nitric_oxide_donor	13
EC_3.2.1.18_(exo_alpha_sialidase)_inhibitor	26
voltage_gated_sodium_channel_blocker	3
electron_acceptor	5
EC_3.4.14.*_(dipeptidyl__and_tripeptidyl_peptidases)_inhibitor	9
anticaking_agent	4
signal_transducer_and_activator_of_transcription_5_protein_inhibitor	1
nicotinic_acid_adenine_dinucleotide_phosphate_receptor_antagonist	1
molecular_messenger	1072
EC_3.4.24.83_(anthrax_lethal_factor_endopeptidase)_inhibitor	7
immunological_adjuvant	13
survivin_suppressant	1
EC_6.1.*_(C_O_bond_forming_ligase)_inhibitor	7
lysophosphatidic_acid_receptor_antagonist	1
EC_3.1.*_(ester_hydrolase)_inhibitor	346
EC_1.3.1.*_(oxidoreductase_acting_on_donor_CH_CH_group__NAD(+)_or_NADP(+)_as_acceptor)_inhibitor	18
abscisic_acid_receptor_agonist	4
EC_1.1.1.146_(11beta_hydroxysteroid_dehydrogenase)_inhibitor	1
anti_HBV_agent	14
EC_3.2.1.48_(sucrose_alpha_glucosidase)_inhibitor	3
oral	244803
cholecystokinin_antagonist	11
two_colour_indicator	9
EC_2.3.1.85_(fatty_acid_synthase)_inhibitor	7
molecule_properties	244803
pyrimidine_synthesis_inhibitor	1
TRPV1_agonist	3
antidote_to_curare_poisoning	4
mTOR_inhibitor	15
opioid_receptor_antagonist	10
ectoparasiticide	4
animal_metabolite	7438
eukaryotic_translation_elongation_factor_1alpha_1_inhibitor	1
EC_2.3.1.26_(sterol_O_acyltransferase)_inhibitor	20
bleaching_agent	11
phosphate_protecting_group	1
EC_2.7.1.137_(phosphatidylinositol_3_kinase)_inhibitor	21
vasoconstrictor_agent	48
radiation_protective_agent	8
teichoic_acid_biosynthesis_inhibitor	4
xenoestrogen	14
mammalian_metabolite	6871
anti_ulcer_drug	37
orexin_receptor_antagonist	1
secreted_frizzled_related_protein_1_inhibitor	1
EC_1.14.14.14_(aromatase)_inhibitor	15
neurotransmitter_agent	978
intravenous_anaesthetic	18
glutathione_depleting_agent	1
EC_1.4.7.1_[glutamate_synthase_(ferredoxin)]_inhibitor	1
antipruritic_drug	30
EC_3.6.1.*_(hydrolases_acting_on_acid_anhydrides_in_P_containing_anhydrides)_inhibitor	1
EC_2.4.1.17_(glucuronosyltransferase)_inhibitor	1
secretagogue	7
EC_5.*_(isomerase)_inhibitor	84
environmental_contaminant	451
Penicillium_metabolite	108
cannabinoid_receptor_antagonist	2
PPARbeta/delta_agonist	2
retinoic_acid_receptor_antagonist	5
EC_6.3.2.*_(acid__D_amino_acid_ligase)_inhibitor	2
peptidomimetic	12
sweetening_agent	25
endothelin_receptor_antagonist	5
potassium_ionophore	6
EC_3.6.3.10_(H(+)/K(+)_exchanging_ATPase)_inhibitor	11
ERK_dimerisation_inhibitor	1
cofactor	468
EC_3.4.23.46_(memapsin_2)_inhibitor	11
EC_1.2.3.1_(aldehyde_oxidase)_inhibitor	5
general_anaesthetic	40
EC_2.7.11.22_(cyclin_dependent_kinase)_inhibitor	14
retinoic_acid_receptor_agonist	6
sterol_methyltransferase_inhibitor	2
solvent	109
EC_6.4.1.2_(acetyl_CoA_carboxylase)_inhibitor	23
anti-estrogen	12
diuretic	41
EC_2.6.1.*_(transaminase)_inhibitor	4
platelet_glycoprotein_IIb/IIIa_receptor_antagonist	5
EC_6.3.*_(C_N_bond_forming_ligase)_inhibitor	9
protease_activated_receptor_1_antagonist	2
EC_3.1.1.8_(cholinesterase)_inhibitor	71
EC_1.4.3.22_(diamine_oxidase)_inhibitor	1
melanin_concentrating_hormone_receptor_antagonist	2
Bronsted_base	7524
bolaamphiphile	1
film_forming_compound	1
EC_3.2.1.20_(alpha_glucosidase)_inhibitor	39
radioactive_tracer	2
Chaetomium_metabolite	93
sympatholytic_agent	20
EC_2.7.8.*_(transferases_for_other_substituted_phosphate_groups)_inhibitor	1
antimycobacterial_drug	78
fuel_additive	6
EC_1.3.5.2_[dihydroorotate_dehydrogenase_(quinone)]_inhibitor	1
coenzyme	60
EC_5.3.1.1_(triose_phosphate_isomerase)_inhibitor	1
aldosterone_antagonist	4
EC_1.6.3.*_(oxidoreductase_acting_on_NADH_or_NADPH_with_oxygen_as_acceptor)_inhibitor	2
antipsychotic_agent	80
flame_retardant	20
adenosine_A1_receptor_agonist	2
adrenergic_agonist	83
EC_3.4.24.3_(microbial_collagenase)_inhibitor	1
guanylate_cyclase_2C_agonist	1
EC_6.3.4.*_(other_carbon__nitrogen_ligases)_inhibitor	1
rodenticide	11
EC_3.5.5.*_(hydrolase_acting_on_C_N_bonds_in_nitriles)_inhibitor	2
venom	10
EC_2.5.1.*_(non_methyl_alkyl_or_aryl_transferase)_inhibitor	46
RUNX1_inhibitor	1
disinfectant	24
mitogen	13
microtubule_stabilising_agent	6
indicator	190
EC_2.7.1.1_(hexokinase)_inhibitor	10
bradykinin_receptor_agonist	6
EC_1.17.3.2_(xanthine_oxidase)_inhibitor	8
Caenorhabditis_elegans_metabolite	290
anaesthesia_adjuvant	12
EC_4.1.1.*_(carboxy_lyase)_inhibitor	14
EC_3.5.1.*_(non_peptide_linear_amide_C_N_hydrolase)_inhibitor	65
EC_3.6.3.44_(xenobiotic_transporting_ATPase)_inhibitor	6
EC_2.4.2.*_(pentosyltransferase)_inhibitor	17
EC_1.14.99.9_(steroid_17alpha_monooxygenase)_inhibitor	2
EC_4.2.1.*_(hydro_lyases)_inhibitor	17
retinoid_X_receptor_agonist	3
sterol_demethylation_inhibitor	49
LIM_kinase_inhibitor	1
microtubule_destabilising_agent	17
EC_3.4.21.37_(leukocyte_elastase)_inhibitor	5
EC_2.7.11.30_(receptor_protein_serine/threonine_kinase)_inhibitor	5
EC_6.5.1.*_(DNA/RNA_repair_enzymes)_inhibitor	1
dinitrophenol_insecticide	1
EC_6.2.1.3_(long_chain_fatty_acid__CoA_ligase)_inhibitor	1
anthelminthic_drug	61
EC_3.5.1.4_(amidase)_inhibitor	6
TGFbeta_receptor_antagonist	5
EC_1.6.5.3_[NADH:ubiquinone_reductase_(H(+)_translocating)]_inhibitor	15
pyrethroid_ether_insecticide	3
EC_2.5.1.18_(glutathione_transferase)_inhibitor	9
EC_1.1.3.13_(alcohol_oxidase)_inhibitor	3
ATPase_motor_cytoplasmic_dynein_inhibitor	1
EC_4.4.1.*_(C_S_lyase)_inhibitor	6
parasympatholytic	28
hematologic_agent	159
capsaicin_receptor_antagonist	8
EC_4.4.1.11_(methionine_gamma_lyase)_inhibitor	4
pharmacological_role	2313
anti_HSV_2_agent	1
aryl_hydrocarbon_receptor_antagonist	1
melatonin_receptor_antagonist	2
nerve_growth_factor_stimulator	4
hormone	667
EC_2.1.1.8_(histamine_N_methyltransferase)_inhibitor	1
EC_3.2.1.23_(beta_galactosidase)_inhibitor	1
EC_1.11.1.11_(L_ascorbate_peroxidase)_inhibitors	2
emulsifier	78
EC_1.1.1.141_[15_hydroxyprostaglandin_dehydrogenase_(NAD(+))]_inhibitor	2
EC_3.1.26.*_(endoribonucleases_producing_5'_phosphomonoesters)_inhibitor	47
EC_1.8.*_(oxidoreductase_acting_on_sulfur_group_of_donors)_inhibitor	12
buffer	59
sodium_dependent_Pi_transporter_inhibitor	1
lysophosphatidic_acid_receptor_3_agonist	1
glioma_associated_oncogene_inhibitor	7
corrosion_inhibitor	1
EC_2.4.99.*_(glycosyltransferases_transferring_other_glycosyl_groups)_inhibitor	1
fuel	8
chemosterilant	7
antineoplastic_agent	1546
protein_kinase_G_agonist	2
EC_1.1.1.210_[3beta(or_20alpha)_hydroxysteroid_dehydrogenase]_inhibitor	1
anticoagulant	58
autoinducer	14
progesterone_receptor_modulator	1
synthetic_auxin	21
EC_2.7.7.6_(RNA_polymerase)_inhibitor	8
synthetic_oral_contraceptive	14
MALDI_matrix_material	12
thermal_degradation_product	18
EC_1.4.3.3_(D_amino_acid_oxidase)_inhibitor	1
second_generation_antipsychotic	19
brassinosteroid_biosynthesis_inhibitor	1
metabotropic_glutamate_receptor_agonist	4
EC_2.7.11.24_(mitogen_activated_protein_kinase)_inhibitor	40
EC_1.13.11.31_(arachidonate_12_lipoxygenase)_inhibitor	3
reducing_agent	21
glucocorticoid_receptor_antagonist	2
EC_1.14.11.29_(hypoxia_inducible_factor_proline_dioxygenase)_inhibitor	2
fumigant	12
EC_2.7.11.20_(elongation_factor_2_kinase)_inhibitor	1
calpain_inhibitor	6
tropomyosin_related_kinase_B_receptor_agonist	4
survivin_dimerisation_modulator	1
estrogen_receptor_agonist	7
steroid_receptor_coactivator_stimulator	1
delta_opioid_receptor_antagonist	3
soluble_guanylate_cyclase_activator	1
RhoA_inhibitor	1
cholinergic_antagonist	138
anxiolytic_drug	53
drug_metabolite	135
estrogen_receptor_modulator	9
EC_1.4.4.*_(oxidoreductase_acting_on_donor_CH_NH2_group__a_disulfide_as_acceptor)_inhibitor	1
tracer	7
antirheumatic_drug	202
dopamine_uptake_inhibitor	20
EC_3.4.15.1_(peptidyl_dipeptidase_A)_inhibitor	38
nootropic_agent	6
photosensitizing_agent	35
c_Jun_N_terminal_kinase_inhibitor	6
gastrointestinal_drug	35
retinoic_acid_receptor_beta_agonist	1
platelet_activating_factor_receptor_antagonist	4
antifungal_agrochemical	231
